"Application: Application ID","Scholarship: Record Type","Banner Scholarship Status","Banner MPS Status","Banner PDS Status","Banner Theatre Scholarship Status","Banner SpeechDebate Scholarship Status","Banner VisualArts Scholarship Status"
"App ID-137471","Presidential Distinction Scholarship","","W1","","","",""
"App ID-232863","Presidential Distinction Scholarship","W","","W","","W3",""
"App ID-130344","Presidential Distinction Scholarship","W","W1","W","N","",""
"App ID-127281","Presidential Distinction Scholarship","W","","W","","",""
"App ID-75564","Presidential Distinction Scholarship","N","","N","","",""
"App ID-75776","Presidential Distinction Scholarship","W","","W","","",""
"App ID-191186","Presidential Distinction Scholarship","W","W1","W","","",""
"App ID-161884","Presidential Distinction Scholarship","W","","W","","",""
"App ID-155894","Presidential Distinction Scholarship","W","","W","N","",""
"App ID-159280","Presidential Distinction Scholarship","W","","W","","",""
"App ID-157662","Presidential Distinction Scholarship","C","","C","","",""
"App ID-155949","Presidential Distinction Scholarship","W","","W","","",""
"App ID-145442","Presidential Distinction Scholarship","W","","W","W1","",""
"App ID-75693","Presidential Distinction Scholarship","W","","W","","",""
"App ID-75346","Presidential Distinction Scholarship","N","","N","","",""
"App ID-75199","Presidential Distinction Scholarship","N","","N","","",""
"App ID-75092","Presidential Distinction Scholarship","W","W","W","","",""
"App ID-75874","Presidential Distinction Scholarship","W","W","W","","",""
"App ID-171549","Presidential Distinction Scholarship","W","","W","W5","",""
"App ID-230581","Presidential Distinction Scholarship","W","","W","","",""
"App ID-192697","Presidential Distinction Scholarship","W","W1","W","","",""
"App ID-196884","Presidential Distinction Scholarship","W","","W","","",""
"App ID-195108","Presidential Distinction Scholarship","W","","W","","",""
"App ID-232820","Presidential Distinction Scholarship","W","","W","","",""
"App ID-157349","Presidential Distinction Scholarship","W","N","W","","",""
"App ID-230570","Presidential Distinction Scholarship","W","","W","","",""
"App ID-192113","Presidential Distinction Scholarship","W","","W","","","W8"
"App ID-230327","Presidential Distinction Scholarship","W","","W","","",""
"App ID-225763","Presidential Distinction Scholarship","W","W1","W","","",""
"App ID-75824","Presidential Distinction Scholarship","W","","W","","",""
"App ID-75248","Presidential Distinction Scholarship","N","W","N","","",""
"App ID-75210","Presidential Distinction Scholarship","N","N","N","","",""
"App ID-194895","Presidential Distinction Scholarship","W","","W","","",""
"App ID-196922","Presidential Distinction Scholarship","W","W1","W","","",""
"App ID-254767","Presidential Distinction Scholarship","W","W1","W","","",""
"App ID-164656","Presidential Distinction Scholarship","W","","W","","",""
"App ID-196453","Presidential Distinction Scholarship","W","","W","","",""
"App ID-234796","Presidential Distinction Scholarship","W","","W","","","W8"
"App ID-127803","Presidential Distinction Scholarship","N","","N","","",""
"App ID-129874","Presidential Distinction Scholarship","W","N","W","","",""
"App ID-196390","Presidential Distinction Scholarship","W","","W","","",""
"App ID-211740","Presidential Distinction Scholarship","W","","W","","",""
"App ID-162442","Presidential Distinction Scholarship","W","","W","","",""
"App ID-195115","Presidential Distinction Scholarship","W","","W","","",""
"App ID-185321","Presidential Distinction Scholarship","W","","W","","",""
"App ID-230646","Presidential Distinction Scholarship","W","","W","","",""
"App ID-240497","Presidential Distinction Scholarship","W","","W","","",""
"App ID-131644","Presidential Distinction Scholarship","W","W1","W","","","W8"
"App ID-75599","Presidential Distinction Scholarship","N","W","N","","",""
"App ID-75702","Presidential Distinction Scholarship","N","W","N","","",""
"App ID-186927","Presidential Distinction Scholarship","W","W1","W","","",""
"App ID-75321","Presidential Distinction Scholarship","N","","N","","",""
"App ID-100553","Presidential Distinction Scholarship","N","","N","","",""
"App ID-129480","Presidential Distinction Scholarship","N","","N","","",""
"App ID-75433","Presidential Distinction Scholarship","N","W","N","","",""
"App ID-75861","Presidential Distinction Scholarship","N","W","N","","",""
"App ID-191376","Presidential Distinction Scholarship","","","","","",""
"App ID-225941","Presidential Distinction Scholarship","W","","W","","",""
"App ID-124856","Presidential Distinction Scholarship","W","","W","","",""
"App ID-75096","Presidential Distinction Scholarship","W","W","W","","",""
"App ID-196392","Presidential Distinction Scholarship","W","W7","W","","",""
"App ID-164663","Presidential Distinction Scholarship","W","","W","","",""
"App ID-162253","Presidential Distinction Scholarship","W","W1","W","","",""
"App ID-170042","Presidential Distinction Scholarship","W","","W","","W3",""
"App ID-240208","Presidential Distinction Scholarship","W","","W","","",""
"App ID-75817","Presidential Distinction Scholarship","W","N","W","","",""
"App ID-76908","Presidential Distinction Scholarship","W","","W","","",""
"App ID-75189","Presidential Distinction Scholarship","W","","W","","",""
"App ID-76296","Presidential Distinction Scholarship","W","","W","","",""
"App ID-204622","Presidential Distinction Scholarship","W","","W","N","",""
"App ID-75619","Presidential Distinction Scholarship","W","","W","","",""
"App ID-204650","Presidential Distinction Scholarship","","","","","",""
"App ID-204671","Presidential Distinction Scholarship","W","","W","","",""
"App ID-128131","Presidential Distinction Scholarship","W","","W","","",""
"App ID-76769","Presidential Distinction Scholarship","W","","W","","",""
"App ID-128078","Presidential Distinction Scholarship","N","","N","","",""
"App ID-89145","Presidential Distinction Scholarship","W","","W","","",""
"App ID-75203","Presidential Distinction Scholarship","N","N","N","W","",""
"App ID-120969","Presidential Distinction Scholarship","W","W","W","","",""
"App ID-94926","Presidential Distinction Scholarship","W","","W","","",""
"App ID-75109","Presidential Distinction Scholarship","N","","N","","",""
"App ID-75231","Presidential Distinction Scholarship","N","","N","","",""
"App ID-75463","Presidential Distinction Scholarship","N","","N","","",""
"App ID-75754","Presidential Distinction Scholarship","W","","W","","",""
"App ID-75767","Presidential Distinction Scholarship","N","","N","","",""
"App ID-176361","Presidential Distinction Scholarship","W","","W","","",""
"App ID-187520","Presidential Distinction Scholarship","W","","W","","",""
"App ID-204713","Presidential Distinction Scholarship","W","W3","W","","",""
"App ID-181315","Presidential Distinction Scholarship","W","W4","W","","",""
"App ID-75809","Presidential Distinction Scholarship","W","","W","","",""
"App ID-102646","Presidential Distinction Scholarship","W","","W","","",""
"App ID-152072","Presidential Distinction Scholarship","W","","W","","",""
"App ID-204605","Presidential Distinction Scholarship","W","W1","W","","",""
"App ID-159815","Presidential Distinction Scholarship","W","W1","W","","",""
"App ID-226208","Presidential Distinction Scholarship","W","N","W","","",""
"App ID-161721","Presidential Distinction Scholarship","W","","W","","",""
"App ID-195144","Presidential Distinction Scholarship","W","","W","","",""
"App ID-225879","Presidential Distinction Scholarship","W","","W","","",""
"App ID-227451","Presidential Distinction Scholarship","W","W1","W","","",""
"App ID-204738","Presidential Distinction Scholarship","W","","W","","",""
"App ID-173607","Presidential Distinction Scholarship","W","","W","","",""
"App ID-228424","Presidential Distinction Scholarship","","","","","",""
"App ID-180432","Presidential Distinction Scholarship","W","","W","","",""
"App ID-192522","Presidential Distinction Scholarship","W","","W","","","W8"
"App ID-161715","Presidential Distinction Scholarship","W","","W","","",""
"App ID-130646","Presidential Distinction Scholarship","W","N","W","","",""
"App ID-105867","Presidential Distinction Scholarship","N","N","N","","",""
"App ID-129150","Presidential Distinction Scholarship","N","","N","","",""
"App ID-87099","Presidential Distinction Scholarship","N","","N","","",""
"App ID-84683","Presidential Distinction Scholarship","W","","W","","",""
"App ID-75882","Presidential Distinction Scholarship","W","W","W","","N",""
"App ID-84776","Presidential Distinction Scholarship","W","","W","","",""
"App ID-155674","Presidential Distinction Scholarship","C","","C","","",""
"App ID-173578","Presidential Distinction Scholarship","W","","W","","",""
"App ID-95218","Presidential Distinction Scholarship","W","","W","","",""
"App ID-238959","Presidential Distinction Scholarship","W","","W","","",""
"App ID-82694","Presidential Distinction Scholarship","","C","","","",""
"App ID-89143","Presidential Distinction Scholarship","W","","W","","",""
"App ID-75108","Presidential Distinction Scholarship","N","","N","","",""
"App ID-93814","Presidential Distinction Scholarship","N","","N","","",""
"App ID-106510","Presidential Distinction Scholarship","W","","W","","",""
"App ID-75605","Presidential Distinction Scholarship","W","","W","","",""
"App ID-75347","Presidential Distinction Scholarship","W","","W","","",""
"App ID-82394","Presidential Distinction Scholarship","N","","N","","",""
"App ID-75945","Presidential Distinction Scholarship","N","","N","","",""
"App ID-127253","Presidential Distinction Scholarship","W","W","W","","",""
"App ID-104917","Presidential Distinction Scholarship","N","","N","","",""
"App ID-87229","Presidential Distinction Scholarship","N","","N","","",""
"App ID-192203","Presidential Distinction Scholarship","W","","W","","",""
"App ID-239585","Presidential Distinction Scholarship","W","","W","","",""
"App ID-128077","Presidential Distinction Scholarship","N","","N","","",""
"App ID-96023","Presidential Distinction Scholarship","N","W","N","","",""
"App ID-145656","Presidential Distinction Scholarship","W","N","W","","",""
"App ID-239013","Presidential Distinction Scholarship","W","","W","","",""
"App ID-227437","Presidential Distinction Scholarship","W","","W","","",""
"App ID-225541","Presidential Distinction Scholarship","W","","W","","",""
"App ID-195479","Presidential Distinction Scholarship","","","","","",""
"App ID-177993","Presidential Distinction Scholarship","W","W1","W","","",""
"App ID-135749","Presidential Distinction Scholarship","W","","W","","W3",""
"App ID-93397","Presidential Distinction Scholarship","W","W","W","","",""
"App ID-230838","Presidential Distinction Scholarship","W","","W","","",""
"App ID-75839","Presidential Distinction Scholarship","N","","N","","",""
"App ID-75279","Presidential Distinction Scholarship","N","W","N","","",""
"App ID-75520","Presidential Distinction Scholarship","W","","W","","",""
"App ID-75519","Presidential Distinction Scholarship","W","","W","","W",""
"App ID-79889","Presidential Distinction Scholarship","W","","W","","",""
"App ID-75475","Presidential Distinction Scholarship","N","","N","","",""
"App ID-130444","Presidential Distinction Scholarship","N","","N","","",""
"App ID-75523","Presidential Distinction Scholarship","W","","W","","",""
"App ID-76791","Presidential Distinction Scholarship","W","","W","","",""
"App ID-75500","Presidential Distinction Scholarship","N","","N","","",""
"App ID-78106","Presidential Distinction Scholarship","W","","W","","",""
"App ID-88338","Presidential Distinction Scholarship","W","","W","","",""
"App ID-75771","Presidential Distinction Scholarship","W","","W","W","",""
"App ID-75276","Presidential Distinction Scholarship","W","","W","","",""
"App ID-87659","Presidential Distinction Scholarship","W","","W","","",""
"App ID-95589","Presidential Distinction Scholarship","N","","N","","",""
"App ID-191980","Presidential Distinction Scholarship","W","","W","","",""
"App ID-230839","Presidential Distinction Scholarship","W","W1","W","","",""
"App ID-168767","Presidential Distinction Scholarship","W","","W","","",""
"App ID-75202","Presidential Distinction Scholarship","W","N","W","","",""
"App ID-233778","Presidential Distinction Scholarship","W","W1","W","","",""
"App ID-130125","Presidential Distinction Scholarship","N","","N","","",""
"App ID-131193","Presidential Distinction Scholarship","W","","W","","",""
"App ID-203775","Presidential Distinction Scholarship","W","W1","W","","",""
"App ID-75177","Presidential Distinction Scholarship","W","","W","","",""
"App ID-134696","Presidential Distinction Scholarship","W","W1","W","","",""
"App ID-225711","Presidential Distinction Scholarship","W","W1","W","","",""
"App ID-232853","Presidential Distinction Scholarship","W","","W","","",""
"App ID-182146","Presidential Distinction Scholarship","W","","W","","",""
"App ID-75435","Presidential Distinction Scholarship","N","","N","","",""
"App ID-161507","Presidential Distinction Scholarship","W","","W","","","W2"
"App ID-227796","Presidential Distinction Scholarship","W","","W","","",""
"App ID-120951","Presidential Distinction Scholarship","W","","W","","W",""
"App ID-233637","Presidential Distinction Scholarship","W","W1","W","","",""
"App ID-235578","Presidential Distinction Scholarship","W","","W","","",""
"App ID-159812","Presidential Distinction Scholarship","W","","W","","",""
"App ID-131165","Presidential Distinction Scholarship","W","W1","W","","",""
"App ID-75490","Presidential Distinction Scholarship","N","","N","","",""
"App ID-75508","Presidential Distinction Scholarship","N","","N","N","",""
"App ID-151915","Presidential Distinction Scholarship","W","","W","","",""
"App ID-131287","Presidential Distinction Scholarship","W","","W","","",""
"App ID-82417","Presidential Distinction Scholarship","W","","W","","","W"
"App ID-75604","Presidential Distinction Scholarship","W","","W","","",""
"App ID-75747","Presidential Distinction Scholarship","W","","W","","",""
"App ID-149817","Presidential Distinction Scholarship","W","","W","","",""
"App ID-130441","Presidential Distinction Scholarship","N","","N","","",""
"App ID-157817","Presidential Distinction Scholarship","W","","W","","",""
"App ID-75339","Presidential Distinction Scholarship","W","","W","","",""
"App ID-75378","Presidential Distinction Scholarship","N","","N","","",""
"App ID-88688","Presidential Distinction Scholarship","N","","N","","",""
"App ID-155016","Presidential Distinction Scholarship","W","","W","","",""
"App ID-154874","Presidential Distinction Scholarship","W","","W","","",""
"App ID-156367","Presidential Distinction Scholarship","C","","C","","",""
"App ID-123159","Presidential Distinction Scholarship","","","","","",""
"App ID-233733","Presidential Distinction Scholarship","W","W1","W","","",""
"App ID-232840","Presidential Distinction Scholarship","W","","W","","",""
"App ID-204734","Presidential Distinction Scholarship","W","","W","","",""
"App ID-239042","Presidential Distinction Scholarship","W","W1","W","","",""
"App ID-157991","Presidential Distinction Scholarship","W","W1","W","","",""
"App ID-122769","Presidential Distinction Scholarship","","","","","",""
"App ID-235268","Presidential Distinction Scholarship","W","W1","W","","",""
"App ID-192526","Presidential Distinction Scholarship","W","","W","","",""
"App ID-179445","Presidential Distinction Scholarship","W","","W","","",""
"App ID-123704","Presidential Distinction Scholarship","W","","W","","",""
"App ID-180438","Presidential Distinction Scholarship","W","","W","","",""
"App ID-180765","Presidential Distinction Scholarship","W","","W","","",""
"App ID-186750","Presidential Distinction Scholarship","W","W1","W","","",""
"App ID-157470","Presidential Distinction Scholarship","W","","W","","",""
"App ID-162392","Presidential Distinction Scholarship","W","","W","","",""
"App ID-232175","Presidential Distinction Scholarship","W","W1","W","","",""
"App ID-180464","Presidential Distinction Scholarship","W","","W","","",""
"App ID-187303","Presidential Distinction Scholarship","W","","W","","",""
"App ID-122849","Presidential Distinction Scholarship","W","N","W","","",""
"App ID-239904","Presidential Distinction Scholarship","W","W1","W","","",""
"App ID-127235","Presidential Distinction Scholarship","W","W4","W","","",""
"App ID-193532","Presidential Distinction Scholarship","W","W1","W","","",""
"App ID-233595","Presidential Distinction Scholarship","W","W1","W","","",""
"App ID-227963","Presidential Distinction Scholarship","W","","W","","",""
"App ID-230578","Presidential Distinction Scholarship","W","","W","","",""
"App ID-158234","Presidential Distinction Scholarship","W","W1","W","","",""
"App ID-191197","Presidential Distinction Scholarship","W","","W","","",""
"App ID-209913","Presidential Distinction Scholarship","W","","W","","",""
"App ID-180527","Presidential Distinction Scholarship","W","","W","","",""
"App ID-225753","Presidential Distinction Scholarship","W","","W","","",""
"App ID-228084","Presidential Distinction Scholarship","W","","W","","",""
"App ID-150371","Presidential Distinction Scholarship","W","","W","","",""
"App ID-161868","Presidential Distinction Scholarship","W","","W","","",""
"App ID-156931","Presidential Distinction Scholarship","W","W2","W","","",""
"App ID-172032","Presidential Distinction Scholarship","W","","W","","",""
"App ID-124461","Presidential Distinction Scholarship","W","","W","","",""
"App ID-124865","Presidential Distinction Scholarship","W","","W","","",""
"App ID-156500","Presidential Distinction Scholarship","W","","W","","",""
"App ID-235258","Presidential Distinction Scholarship","W","W1","W","","",""
"App ID-194894","Presidential Distinction Scholarship","W","","W","","",""
"App ID-178020","Presidential Distinction Scholarship","W","","W","","",""
"App ID-162372","Presidential Distinction Scholarship","W","W1","W","","",""
"App ID-157836","Presidential Distinction Scholarship","W","N","W","","",""
"App ID-145798","Presidential Distinction Scholarship","W","","W","","",""
"App ID-236913","Presidential Distinction Scholarship","W","","W","","",""
"App ID-197970","Presidential Distinction Scholarship","W","W1","W","","",""
"App ID-161640","Presidential Distinction Scholarship","","","","","",""
"App ID-161187","Presidential Distinction Scholarship","W","N","W","","W1",""
"App ID-124375","Presidential Distinction Scholarship","W","W1","W","","",""
"App ID-126225","Presidential Distinction Scholarship","W","","W","","",""
"App ID-241060","Presidential Distinction Scholarship","W","W1","W","","",""
"App ID-172528","Presidential Distinction Scholarship","W","","W","","",""
"App ID-174730","Presidential Distinction Scholarship","W","W2","W","","",""
"App ID-171941","Presidential Distinction Scholarship","W","","W","","",""
"App ID-121624","Presidential Distinction Scholarship","W","","W","W1","",""
"App ID-174781","Presidential Distinction Scholarship","W","","W","","",""
"App ID-154311","Presidential Distinction Scholarship","W","","W","","",""
"App ID-196259","Presidential Distinction Scholarship","W","N","W","","",""
"App ID-158073","Presidential Distinction Scholarship","W","","W","","",""
"App ID-233417","Presidential Distinction Scholarship","W","","W","","",""
"App ID-164369","Presidential Distinction Scholarship","W","","W","","",""
"App ID-159047","Presidential Distinction Scholarship","W","","W","","",""
"App ID-122102","Presidential Distinction Scholarship","W","W1","W","","",""
"App ID-138253","Presidential Distinction Scholarship","W","","W","","",""
"App ID-171540","Presidential Distinction Scholarship","W","W1","W","W1","",""
"App ID-157561","Presidential Distinction Scholarship","W","","W","","",""
"App ID-177725","Presidential Distinction Scholarship","W","","W","","",""
"App ID-164420","Presidential Distinction Scholarship","W","","W","","",""
"App ID-157789","Presidential Distinction Scholarship","W","W1","W","","",""
"App ID-157562","Presidential Distinction Scholarship","W","","W","","",""
"App ID-129131","Presidential Distinction Scholarship","W","","W","","",""
"App ID-163024","Presidential Distinction Scholarship","C","","C","","",""
"App ID-145991","Presidential Distinction Scholarship","W","","W","","",""
"App ID-149913","Presidential Distinction Scholarship","W","","W","","",""
"App ID-143643","Presidential Distinction Scholarship","W","","W","","",""
"App ID-163259","Presidential Distinction Scholarship","W","W1","W","","",""
"App ID-158133","Presidential Distinction Scholarship","W","","W","","",""
"App ID-187744","Presidential Distinction Scholarship","W","","W","","",""
"App ID-191603","Presidential Distinction Scholarship","W","","W","","",""
"App ID-82641","Presidential Distinction Scholarship","W","","W","","",""
"App ID-164046","Presidential Distinction Scholarship","W","","W","","",""
"App ID-139832","Presidential Distinction Scholarship","W","","W","","",""
"App ID-154871","Presidential Distinction Scholarship","W","","W","","",""
"App ID-157784","Presidential Distinction Scholarship","W","","W","","",""
"App ID-164375","Presidential Distinction Scholarship","W","","W","","",""
"App ID-123873","Presidential Distinction Scholarship","W","N","W","","",""
"App ID-145467","Presidential Distinction Scholarship","W","","W","","",""
"App ID-161860","Presidential Distinction Scholarship","W","N","W","N","",""
"App ID-136899","Presidential Distinction Scholarship","W","","W","","",""
"App ID-161515","Presidential Distinction Scholarship","W","","W","","",""
"App ID-178304","Presidential Distinction Scholarship","W","","W","","",""
"App ID-180723","Presidential Distinction Scholarship","W","","W","W3","W3",""
"App ID-149824","Presidential Distinction Scholarship","W","","W","","",""
"App ID-178322","Presidential Distinction Scholarship","W","","W","","",""
"App ID-124268","Presidential Distinction Scholarship","W","W1","W","W1","",""
"App ID-186350","Presidential Distinction Scholarship","W","","W","","",""
"App ID-145695","Presidential Distinction Scholarship","W","","W","","",""
"App ID-164120","Presidential Distinction Scholarship","W","","W","","",""
"App ID-178642","Presidential Distinction Scholarship","W","W6","W","","",""
"App ID-192607","Presidential Distinction Scholarship","W","","W","","",""
"App ID-186628","Presidential Distinction Scholarship","W","W1","W","","",""
"App ID-155938","Presidential Distinction Scholarship","W","","W","","","W1"
"App ID-125256","Presidential Distinction Scholarship","W","W1","W","N","N",""
"App ID-138667","Presidential Distinction Scholarship","W","W1","W","","",""
"App ID-123874","Presidential Distinction Scholarship","W","N","W","","",""
"App ID-164243","Presidential Distinction Scholarship","C","","C","","",""
"App ID-125032","Presidential Distinction Scholarship","W","W1","W","W1","",""
"App ID-149907","Presidential Distinction Scholarship","W","","W","","",""
"App ID-156330","Presidential Distinction Scholarship","W","W1","W","","",""
"App ID-131508","Presidential Distinction Scholarship","W","","W","","",""
"App ID-138729","Presidential Distinction Scholarship","W","W1","W","","",""
"App ID-168257","Presidential Distinction Scholarship","W","W1","W","","",""
"App ID-157590","Presidential Distinction Scholarship","W","W1","W","N","",""
"App ID-163029","Presidential Distinction Scholarship","W","","W","","",""
"App ID-126383","Presidential Distinction Scholarship","W","","W","","",""
"App ID-153089","Presidential Distinction Scholarship","C","C","C","","",""
"App ID-134527","Presidential Distinction Scholarship","W","N","W","","",""
"App ID-163828","Presidential Distinction Scholarship","W","","W","","",""
"App ID-146071","Presidential Distinction Scholarship","W","","W","","",""
"App ID-172494","Presidential Distinction Scholarship","W","","W","","",""
"App ID-134725","Presidential Distinction Scholarship","W","","W","","",""
"App ID-162337","Presidential Distinction Scholarship","W","","W","","",""
"App ID-164065","Presidential Distinction Scholarship","W","","W","","",""
"App ID-143636","Presidential Distinction Scholarship","W","","W","","",""
"App ID-157907","Presidential Distinction Scholarship","W","W1","W","","",""
"App ID-233672","Presidential Distinction Scholarship","","","","","C",""
"App ID-225856","Presidential Distinction Scholarship","W","W1","W","","",""
"App ID-196120","Presidential Distinction Scholarship","W","","W","","W3",""
"App ID-225666","Presidential Distinction Scholarship","W","","W","","",""
"App ID-168333","Presidential Distinction Scholarship","W","","W","","",""
"App ID-168271","Presidential Distinction Scholarship","W","W1","W","","",""
"App ID-158040","Presidential Distinction Scholarship","W","","W","","",""
"App ID-230740","Presidential Distinction Scholarship","W","W1","W","","",""
"App ID-121692","Presidential Distinction Scholarship","W","","W","","",""
"App ID-194940","Presidential Distinction Scholarship","W","W1","W","","",""
"App ID-192157","Presidential Distinction Scholarship","W","","W","","",""
"App ID-174734","Presidential Distinction Scholarship","W","","W","","",""
"App ID-157990","Presidential Distinction Scholarship","W","","W","N","",""
"App ID-168258","Presidential Distinction Scholarship","W","","W","","",""
"App ID-155832","Presidential Distinction Scholarship","W","","W","","",""
"App ID-158165","Presidential Distinction Scholarship","W","","W","","",""
"App ID-157682","Presidential Distinction Scholarship","W","","W","","",""
"App ID-174705","Presidential Distinction Scholarship","W","","W","","",""
"App ID-262142","Presidential Distinction Scholarship","W","","W","","",""
"App ID-124289","Presidential Distinction Scholarship","W","","W","","",""
"App ID-136966","Presidential Distinction Scholarship","W","","W","","",""
"App ID-178296","Presidential Distinction Scholarship","W","","W","","",""
"App ID-130490","Presidential Distinction Scholarship","W","","W","","",""
"App ID-142823","Presidential Distinction Scholarship","C","","C","","",""
"App ID-172545","Presidential Distinction Scholarship","W","","W","","",""
"App ID-146096","Presidential Distinction Scholarship","W","","W","","",""
"App ID-123730","Presidential Distinction Scholarship","W","","W","","",""
"App ID-178321","Presidential Distinction Scholarship","W","","W","","",""
"App ID-173959","Presidential Distinction Scholarship","W","","W","","",""
"App ID-168301","Presidential Distinction Scholarship","W","","W","","",""
"App ID-164410","Presidential Distinction Scholarship","W","","W","","",""
"App ID-158228","Presidential Distinction Scholarship","W","","W","","",""
"App ID-124836","Presidential Distinction Scholarship","W","N","W","N","",""
"App ID-159721","Presidential Distinction Scholarship","W","W1","W","","W1",""
"App ID-162499","Presidential Distinction Scholarship","W","","W","","",""
"App ID-230574","Presidential Distinction Scholarship","W","N","W","","",""
"App ID-191657","Presidential Distinction Scholarship","W","N","W","","",""
"App ID-164441","Presidential Distinction Scholarship","W","W6","W","","",""
"App ID-161733","Presidential Distinction Scholarship","W","","W","","",""
"App ID-240062","Presidential Distinction Scholarship","W","","W","","",""
"App ID-194685","Presidential Distinction Scholarship","W","","W","","",""
"App ID-233750","Presidential Distinction Scholarship","W","","W","","",""
"App ID-163011","Presidential Distinction Scholarship","W","W4","W","","",""
"App ID-224623","Presidential Distinction Scholarship","W","N","W","","",""
"App ID-238918","Presidential Distinction Scholarship","W","","W","","",""
"App ID-229751","Presidential Distinction Scholarship","W","N","W","","",""
"App ID-185588","Presidential Distinction Scholarship","W","","W","","","W8"
"App ID-162969","Presidential Distinction Scholarship","W","W1","W","","",""
"App ID-180759","Presidential Distinction Scholarship","W","","W","W5","",""
"App ID-192592","Presidential Distinction Scholarship","W","W1","W","","",""
"App ID-234000","Presidential Distinction Scholarship","W","","W","","",""
"App ID-228425","Presidential Distinction Scholarship","W","W1","W","","",""
"App ID-164229","Presidential Distinction Scholarship","W","N","W","","",""
"App ID-158202","Presidential Distinction Scholarship","W","","W","","",""
"App ID-172036","Presidential Distinction Scholarship","W","","W","","",""
"App ID-157059","Presidential Distinction Scholarship","W","","W","","",""
"App ID-153157","Presidential Distinction Scholarship","W","","W","","",""
"App ID-141105","Presidential Distinction Scholarship","W","","W","","",""
"App ID-162469","Presidential Distinction Scholarship","W","","W","","",""
"App ID-186835","Presidential Distinction Scholarship","W","N","W","N","",""
"App ID-227972","Presidential Distinction Scholarship","W","","W","","",""
"App ID-244327","Presidential Distinction Scholarship","W","","W","","",""
"App ID-192774","Presidential Distinction Scholarship","W","","W","","",""
"App ID-239503","Presidential Distinction Scholarship","","","","","",""
"App ID-225759","Presidential Distinction Scholarship","W","","W","","",""
"App ID-180700","Presidential Distinction Scholarship","W","W1","W","","",""
"App ID-186195","Presidential Distinction Scholarship","","","","","",""
"App ID-228140","Presidential Distinction Scholarship","W","W1","W","","",""
"App ID-175992","Presidential Distinction Scholarship","W","","W","","",""
"App ID-187538","Presidential Distinction Scholarship","W","W1","W","","",""
"App ID-240122","Presidential Distinction Scholarship","W","","W","","",""
"App ID-151629","Presidential Distinction Scholarship","W","","W","","",""
"App ID-228962","Presidential Distinction Scholarship","W","","W","","",""
"App ID-240711","Presidential Distinction Scholarship","W","","W","","",""
"App ID-176188","Presidential Distinction Scholarship","W","","W","","",""
"App ID-232419","Presidential Distinction Scholarship","W","","W","","",""
"App ID-238929","Presidential Distinction Scholarship","W","","W","","",""
"App ID-159791","Presidential Distinction Scholarship","W","","W","","",""
"App ID-127744","Presidential Distinction Scholarship","W","N","W","","",""
"App ID-227953","Presidential Distinction Scholarship","W","N","W","","",""
"App ID-135134","Presidential Distinction Scholarship","W","W1","W","","",""
"App ID-204632","Presidential Distinction Scholarship","W","N","W","","",""
"App ID-224642","Presidential Distinction Scholarship","W","","W","","",""
"App ID-230600","Presidential Distinction Scholarship","W","","W","","",""
"App ID-177951","Presidential Distinction Scholarship","W","","W","","",""
"App ID-226328","Presidential Distinction Scholarship","W","","W","","W3",""
"App ID-152692","Presidential Distinction Scholarship","W","","W","","",""
"App ID-196625","Presidential Distinction Scholarship","W","","W","","",""
"App ID-157523","Presidential Distinction Scholarship","","C","","","",""
"App ID-204609","Presidential Distinction Scholarship","W","","W","","",""
"App ID-164652","Presidential Distinction Scholarship","W","","W","","",""
"App ID-163422","Presidential Distinction Scholarship","","","","","",""
"App ID-168319","Presidential Distinction Scholarship","W","","W","","",""
"App ID-224847","Presidential Distinction Scholarship","W","","W","","",""
"App ID-227478","Presidential Distinction Scholarship","W","","W","N","W4",""
"App ID-230485","Presidential Distinction Scholarship","W","W1","W","","",""
"App ID-240893","Presidential Distinction Scholarship","W","","W","","",""
"App ID-244680","Presidential Distinction Scholarship","W","","W","","",""
"App ID-251331","Presidential Distinction Scholarship","W","C","W","","",""
"App ID-175117","Presidential Distinction Scholarship","W","W1","W","","",""
"App ID-154802","Presidential Distinction Scholarship","W","","W","","",""
"App ID-160631","Presidential Distinction Scholarship","W","","W","","",""
"App ID-182104","Presidential Distinction Scholarship","W","","W","","",""
"App ID-188237","Presidential Distinction Scholarship","W","N","W","","",""
"App ID-196028","Presidential Distinction Scholarship","W","","W","","",""
"App ID-228440","Presidential Distinction Scholarship","W","","W","","",""
"App ID-247073","Presidential Distinction Scholarship","W","","W","","",""
"App ID-225878","Presidential Distinction Scholarship","W","","W","","",""
"App ID-236246","Presidential Distinction Scholarship","W","N","W","","",""
"App ID-234699","Presidential Distinction Scholarship","","","","","",""
"App ID-157679","Presidential Distinction Scholarship","W","N","W","","",""
"App ID-138292","Presidential Distinction Scholarship","W","N","W","","",""
"App ID-139066","Presidential Distinction Scholarship","W","","W","","",""
"App ID-141132","Presidential Distinction Scholarship","W","","W","","",""
"App ID-128850","Presidential Distinction Scholarship","W","W1","W","","",""
"App ID-175106","Presidential Distinction Scholarship","W","W1","W","","",""
"App ID-131521","Presidential Distinction Scholarship","W","","W","","",""
"App ID-233608","Presidential Distinction Scholarship","W","","W","","",""
"App ID-184101","Presidential Distinction Scholarship","W","W1","W","","",""
"App ID-131164","Presidential Distinction Scholarship","W","N","W","","",""
