"Final.Status","ID","Year","ACT","GPA","Distance.Mhd","Zip.Median.Income","Zip.Population","Zip.Pct.White","Zip.Alumni.Density","Music.Interest","Athletic.Interest","Legacy.Relationship","Gender.Indicator","Ethnicity.Indicator","Lutheran.Indicator","Religious.Indicator","App","Deposited","FAFSA.Received","CREDO.Invited","CREDO.Accepted","Regular.Visits.by.Date","Performance.Scholarship.Event","Academic.Scholarship.Event","Other.Admits.Density"
0,"App ID-227796","2016 Fall",29,3.91,229.82,85.849,28.475,85.47,0.24,0,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0.0245829675153644
0,"App ID-227810","2016 Fall",17,3.08,218.47,45.66,42.928,55.12,0.17,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0.0209653373089825
1,"App ID-227812","2016 Fall",24,3.33,196.46,63.375,0.503,85.49,0.42,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.198807157057654
1,"App ID-227830","2016 Fall",25,3.09,125.37,48.561,6.006,91.89,0.18,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0.0333000333000333
0,"App ID-227842","2016 Fall",23,3.28,232.16,88.246,33.316,91.12,0.2,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0.0480249729859527
0,"App ID-227857","2016 Fall",25,2.75,216.16,49.712,1.87,81.87,0.21,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.053475935828877
0,"App ID-227871","2016 Fall",21,3.17,244.61,55.92,29.952,89.23,0.12,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.0133547008547009
0,"App ID-227883","2016 Fall",20,3.88,80.65,45.168,10.522,96.99,0.7,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0.11404675917126
0,"App ID-227888","2016 Fall",19,3.11,287.15,42.141,28.875,90.43,0.12,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0.0207792207792208
0,"App ID-227907","2016 Fall",27,3.43,693.54,54.196,28.037,94.75,0.12,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0.0142668616471092
0,"App ID-227910","2016 Fall",20,3.31,214.08,56.477,1.133,90.91,0.09,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.088261253309797
0,"App ID-227911","2016 Fall",16,2.98,6.17,69.383,28.728,90.95,1.08,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0.0870231133389028
0,"App ID-227931","2016 Fall",31,3.93,202.22,59.304,33.945,85.67,0.15,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0.0235675357195463
1,"App ID-227949","2016 Fall",22,2.89,99.81,47.772,33.463,85.6,0.36,1,0,0,1,0,0,0,1,1,1,0,0,3,0,0,0.0448256283058901
0,"App ID-227953","2016 Fall",31,4,63.37,51.288,9.464,88.36,0.42,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0.0633981403212172
1,"App ID-227958","2016 Fall",27,3.53,2.52,42.616,48.506,86.27,1.07,1,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0.0865872263225168
1,"App ID-227961","2016 Fall",24,3.56,2.52,86.788,18.758,84.83,0.12,0,0,0,0,0,0,0,1,1,1,0,0,2,1,0,0.223904467427231
1,"App ID-227963","2016 Fall",34,4.08,141.52,51.809,7.637,95.74,0.6,0,1,0,1,0,1,1,1,1,1,1,0,1,0,1,0.0392824407489852
1,"App ID-227972","2016 Fall",27,3.92,41.9,48.766,4.073,96.46,0.83,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0.122759636631476
0,"App ID-227973","2016 Fall",20,3.68,218.49,26.871,13.288,35.61,0.05,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.022576760987357
1,"App ID-227977","2016 Fall",21,2.43,3.65,66.172,31.429,93.49,1.93,0,0,1,0,0,1,1,1,1,0,0,0,2,0,0,0.171815838874924
0,"App ID-227982","2016 Fall",27,4.04,154.63,46.796,20.242,96.1,0.3,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0.0543424562790238
0,"App ID-227987","2016 Fall",30,3.96,181.05,69.136,23.214,96.99,0.36,1,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0.0603084345653485
0,"App ID-228000","2016 Fall",28,3.96,179.76,59.231,4.163,93.37,0.12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0240211386019697
0,"App ID-228006","2016 Fall",23,3.59,207.09,65.924,22.915,78.46,0.34,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0.0480034911629937
0,"App ID-228007","2016 Fall",21,3.79,255.52,57.604,3.219,96.99,0.53,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0.186393289841566
0,"App ID-228015","2016 Fall",26,4,3.65,66.172,31.429,93.49,1.93,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0.171815838874924
