Application ID,Award Status,Total Discount Rate,Total Institutional Gift,Gross Need,Cobber Edge Award,Priority Cobber Award,Presidential Total,Regents Scholarship Total,Speech Debate Scholarship Total,Theatre Performance Total,Visual Arts Award Total,Music Performance Total
App ID-160951,No Award,0,,30170,0,0,0,0,0,0,0,0
App ID-126570,No Award,0,,33460,0,0,0,0,0,0,0,0
App ID-155006,No Award,0,,46424,0,0,0,0,0,0,0,0
App ID-127674,No Award,0,,44954,0,0,0,0,0,0,0,0
App ID-161094,No Award,0,,45554,0,0,0,0,0,0,0,0
App ID-164213,No Award,0,,11859,0,0,0,0,0,0,0,0
App ID-122432,No Award,0,,30172,0,0,0,0,0,0,0,0
App ID-161867,No Award,0,,0,0,0,0,0,0,0,0,0
App ID-164288,No Award,0,,34113,0,0,0,0,0,0,0,0
App ID-154460,No Award,0,,10408,0,0,0,0,0,0,0,0
App ID-156504,No Award,0,,22873,0,0,0,0,0,0,0,0
App ID-124124,No Award,0,,43312,0,0,0,0,0,0,0,0
App ID-164484,No Award,0,,0,0,0,0,0,0,0,0,0
App ID-145988,No Award,0,,14990,0,0,0,0,0,0,0,0
App ID-163907,No Award,0,,0,0,0,0,0,0,0,0,0
App ID-149842,No Award,0,,0,0,0,0,0,0,0,0,0
App ID-145991,No Award,0,,11962,0,0,0,0,0,0,0,0
App ID-158202,No Award,0,,40352,0,0,0,0,0,0,0,0
App ID-150372,No Award,0,,15212,0,0,0,0,0,0,0,0
App ID-158107,No Award,0,,0,0,0,0,0,0,0,0,0
App ID-146072,No Award,0,,34115,0,0,0,0,0,0,0,0
App ID-162555,No Award,0,,41276,0,0,0,0,0,0,0,0
App ID-145097,No Award,0,,39324,0,0,0,0,0,0,0,0
App ID-157048,No Award,0,,12265,0,0,0,0,0,0,0,0
App ID-146096,No Award,0,,46054,0,0,0,0,0,0,0,0
App ID-139793,No Award,0,,0,0,0,0,0,0,0,0,0
App ID-159721,No Award,0,,10197,0,0,0,0,0,0,0,0
App ID-128081,No Award,0,,29520,0,0,0,0,0,0,0,0
App ID-160602,No Award,0,,28666,0,0,0,0,0,0,0,0
App ID-134650,No Award,0,,15200,0,0,0,0,0,0,0,0
App ID-164424,No Award,0,,7040,0,0,0,0,0,0,0,0
App ID-161870,No Award,0,,41712,0,0,0,0,0,0,0,0
App ID-168258,No Award,0,,0,0,0,0,0,0,0,0,0
App ID-164282,No Award,0,,46090,0,0,0,0,0,0,0,0
App ID-121551,No Award,0,,37371,0,0,0,0,0,0,0,0
App ID-156330,No Award,0,,0,0,0,0,0,0,0,0,0
App ID-164483,No Award,0,,31013,0,0,0,0,0,0,0,0
App ID-122814,No Award,0,,27814,0,0,0,0,0,0,0,0
App ID-122383,No Award,0,,0,0,0,0,0,0,0,0,0
App ID-125534,No Award,0,,41381,0,0,0,0,0,0,0,0
App ID-146593,No Award,0,,0,0,0,0,0,0,0,0,0
App ID-168223,No Award,0,,37157,0,0,0,0,0,0,0,0
App ID-168234,No Award,0,,0,0,0,0,0,0,0,0,0
App ID-157802,No Award,0,,10589,0,0,0,0,0,0,0,0
App ID-121814,No Award,0,,38549,0,0,0,0,0,0,0,0
App ID-127734,No Award,0,,43509,0,0,0,0,0,0,0,0
App ID-145979,No Award,0,,0,0,0,0,0,0,0,0,0
App ID-131473,No Award,0,,43012,0,0,0,0,0,0,0,0
App ID-164281,No Award,0,,39995,0,0,0,0,0,0,0,0
App ID-156588,No Award,0,,0,0,0,0,0,0,0,0,0
