"Final.Status","ID","Year","ACT","GPA","HS.Percentile","Royal15","Cost.of.Attendance","Total.Gift","Total.Institutional.Gift","Gross.Need","Distance.Mhd","Zip.Median.Income","Zip.Population","Zip.Pct.White","Zip.Alumni.Pop","Zip.Alumni.Density","HS.Size","Music.Interest","Athletic.Interest","Legacy.Relationship","Gender.Indicator","Ethnicity.Indicator","Lutheran.Indicator","Religious.Indicator"
0,"App ID-100371","2014 Fall",28,4,NA,0,NA,0,0,0,149.24,75050,17801,0.9389,94,0.0053,1078,0,0,0,0,0,0,0
0,"App ID-100460","2014 Fall",27,3.95,NA,0,NA,0,0,0,156.28,48182,5341,0.8884,14,0.0026,318,0,0,0,0,1,0,0
0,"App ID-100467","2014 Fall",26,3.93,NA,0,NA,0,0,0,196.64,52650,2878,0.9764,3,0.001,83,0,0,0,0,0,0,0
0,"App ID-100483","2014 Fall",28,3.93,NA,0,41484,16000,16000,0,167.76,67734,46812,0.9024,98,0.0021,NA,0,0,0,0,0,0,0
1,"App ID-100553","2014 Fall",28,3.88,63,0,41484,16000,16000,0,6.17,69383,28728,0.9095,310,0.0108,NA,0,0,0,1,0,0,0
1,"App ID-100653","2014 Fall",25,3.51,43,0,NA,0,0,0,6.17,69383,28728,0.9095,310,0.0108,NA,0,0,0,0,0,0,0
1,"App ID-100654","2014 Fall",26,3.95,88,0,41484,17820,17820,19639,2.66,41554,31233,0.8977,362,0.0116,1671,0,0,0,0,1,0,0
1,"App ID-100733","2014 Fall",23,2.68,46,0,41484,17540,17540,18449,128.09,48178,29469,0.9582,105,0.0036,NA,0,0,0,1,0,0,0
0,"App ID-101588","2014 Fall",31,3.88,NA,1,NA,0,0,0,6.17,69383,28728,0.9095,310,0.0108,6335,0,0,0,0,0,1,1
0,"App ID-101717","2014 Fall",29,4,NA,0,NA,0,0,0,59.25,57331,6338,0.9432,76,0.012,413,0,1,0,0,0,0,0
1,"App ID-101822","2014 Fall",29,3.67,67,1,NA,0,0,0,39.62,55219,2441,0.9853,24,0.0098,404,0,0,0,1,0,0,1
1,"App ID-102143","2014 Fall",29,3.44,58,0,41484,26080,21230,36433,154.63,46796,20242,0.961,61,0.003,947,1,0,0,1,0,0,0
0,"App ID-102185","2014 Fall",21,3.51,NA,0,NA,0,0,0,238.96,70281,29612,0.9469,35,0.0012,1452,1,0,0,0,0,0,0
0,"App ID-102637","2014 Fall",31,4,NA,0,41484,17500,17500,15615,87.53,56719,2226,0.982,3,0.0013,NA,1,0,0,0,0,0,0
1,"App ID-102646","2014 Fall",28,3.94,0,0,41484,30720,20600,43765,140.89,55396,5635,0.9886,22,0.0039,NA,0,0,0,0,0,0,0
0,"App ID-102798","2014 Fall",30,4,NA,0,41484,18990,18990,19992,255.52,57604,3219,0.9699,17,0.0053,230,0,0,0,0,0,0,0
0,"App ID-102809","2014 Fall",28,3.9,NA,0,NA,0,0,0,303.68,42126,14899,0.626,NA,NA,NA,1,1,0,0,0,1,1
0,"App ID-102884","2014 Fall",21,3.03,NA,0,NA,0,0,0,63.77,51731,3111,0.9576,36,0.0116,130,0,0,0,1,0,0,0
0,"App ID-102913","2014 Fall",19,3.29,NA,0,NA,0,0,0,178.2,76161,19010,0.9317,41,0.0022,1087,0,0,0,0,0,0,0
0,"App ID-102915","2014 Fall",18,3.53,NA,0,NA,0,0,0,189.02,77425,28439,0.9275,142,0.005,NA,0,0,0,0,0,0,1
1,"App ID-102919","2014 Fall",25,3.76,82,0,41484,23826,21900,44224,201.21,47368,2816,0.9673,2,7e-04,NA,0,0,0,0,0,0,0
1,"App ID-103025","2014 Fall",24,3.79,0,0,41484,26350,19380,31437,202.67,50020,16754,0.8314,20,0.0012,NA,0,1,0,1,0,0,0
0,"App ID-103354","2014 Fall",28,3.81,NA,0,NA,0,0,0,122.79,58310,7646,0.9912,71,0.0093,NA,0,0,0,1,0,0,0
1,"App ID-103356","2014 Fall",26,3.98,92,0,41484,0,0,649,91.71,49515,17287,0.9498,47,0.0027,2185,0,0,0,0,0,0,0
1,"App ID-103390","2014 Fall",19,2.94,51,0,41484,25884,11140,44474,200.45,92392,46901,0.9383,111,0.0024,2157,0,0,0,1,0,0,0
0,"App ID-103537","2014 Fall",20,3.31,NA,0,41484,19020,19020,33619,248.76,53636,12141,0.9795,14,0.0012,494,0,0,0,0,0,0,0
0,"App ID-103584","2014 Fall",21,3.79,NA,0,41484,35356,30230,41032,201.1,100777,21210,0.7743,112,0.0053,2070,0,1,0,0,0,0,0
0,"App ID-103988","2014 Fall",23,3.44,NA,0,41484,32430,32430,40851,438.21,55045,3165,0.964,NA,NA,NA,0,0,0,0,0,0,0
1,"App ID-104024","2014 Fall",23,3.42,64,0,41484,20430,20430,32963,90.74,47855,12691,0.9344,61,0.0048,NA,0,1,0,1,0,0,0
0,"App ID-104405","2014 Fall",30,3.48,NA,0,NA,0,0,0,207.93,64179,28585,0.8073,93,0.0033,1789,0,0,0,0,0,0,0
0,"App ID-104454","2014 Fall",28,3.47,NA,0,41484,13500,13500,9282,219.02,95024,28035,0.8301,77,0.0027,2154,0,0,0,0,0,0,0
0,"App ID-104569","2014 Fall",20,3.48,NA,1,41484,0,0,40932,173.52,49628,15523,0.8847,38,0.0024,NA,0,0,0,1,0,0,1
0,"App ID-104690","2014 Fall",21,3.56,NA,0,41484,0,0,19700,160.87,53723,9681,0.9721,50,0.0052,NA,0,0,0,1,0,0,0
0,"App ID-104703","2014 Fall",24,3.64,NA,0,41484,19770,19770,29082,200.45,92392,46901,0.9383,111,0.0024,1614,0,0,0,1,0,0,0
1,"App ID-104917","2014 Fall",32,3.67,0,0,41484,29160,26680,42871,635.17,77639,26471,0.9128,5,2e-04,NA,0,0,0,1,0,0,0
1,"App ID-105037","2014 Fall",20,3.16,45,0,41484,20864,10120,44444,117.03,53818,7935,0.9442,29,0.0037,439,0,1,0,1,0,0,0
0,"App ID-105091","2014 Fall",24,3.67,NA,0,41484,19600,19600,24504,160.35,42540,2454,0.9377,7,0.0029,NA,0,1,0,1,0,0,0
0,"App ID-105138","2015 Fall",26,3.91,77,0,NA,0,0,0,102.59,61625,1202,0.8968,4,0.0033,215,0,0,0,0,0,0,0
0,"App ID-105141","2015 Fall",21,3.31,38,0,NA,0,0,0,102.59,61625,1202,0.8968,4,0.0033,215,0,0,0,0,0,0,1
0,"App ID-105161","2014 Fall",23,3.75,NA,0,NA,0,0,0,189.02,77425,28439,0.9275,142,0.005,NA,0,0,0,0,0,0,0
0,"App ID-105171","2014 Fall",22,3.37,NA,0,NA,0,0,0,229.64,46354,47040,0.9093,56,0.0012,784,0,0,0,0,0,0,0
0,"App ID-105176","2014 Fall",20,3.22,NA,0,NA,0,0,0,218.46,51150,22777,0.7306,41,0.0018,NA,0,0,0,0,1,0,0
0,"App ID-105193","2014 Fall",16,3.33,NA,0,NA,0,0,0,212.26,45935,12852,0.7323,24,0.0019,NA,0,0,0,0,0,0,0
0,"App ID-105270","2014 Fall",33,4,NA,0,41484,23750,23750,29480,229.22,65815,13531,0.8924,25,0.0018,NA,1,0,0,1,0,0,0
0,"App ID-105288","2014 Fall",22,3.1,NA,1,41484,19150,19150,33032,203.3,73100,32771,0.5458,50,0.0015,NA,0,0,0,0,1,0,1
0,"App ID-105294","2014 Fall",23,3.81,NA,0,41484,13000,13000,3097,180.53,72725,16022,0.9701,28,0.0017,546,0,0,0,0,0,0,0
0,"App ID-105360","2014 Fall",21,3.25,NA,0,41484,18560,18560,38973,596.35,42500,9280,0.9658,12,0.0013,NA,0,1,0,0,0,0,0
0,"App ID-105362","2014 Fall",22,3.09,NA,0,41484,25310,21310,44904,596.35,42500,9280,0.9658,12,0.0013,NA,0,1,0,0,0,0,0
0,"App ID-105375","2014 Fall",21,2.82,NA,0,NA,0,0,0,146.11,46132,22990,0.8633,137,0.006,NA,0,0,0,1,0,0,0
1,"App ID-105410","2014 Fall",24,3.96,0,0,41484,21250,21250,25925,230.44,74441,3657,0.9467,3,8e-04,588,1,1,0,0,0,0,0
0,"App ID-105416","2014 Fall",21,3.09,NA,0,41484,5000,5000,7573,3.65,66172,31429,0.9349,607,0.0193,NA,0,0,0,1,0,0,0
0,"App ID-105496","2014 Fall",22,3.22,NA,0,NA,0,0,0,715,58094,7550,0.9192,6,8e-04,NA,0,0,0,1,0,0,0
0,"App ID-105505","2014 Fall",27,4,NA,0,NA,0,0,0,689.09,57602,19259,0.9673,15,8e-04,NA,1,0,0,0,0,0,0
0,"App ID-105593","2014 Fall",24,2.97,NA,0,NA,0,0,0,718.55,65109,25380,0.9467,19,7e-04,NA,0,0,0,1,0,0,0
1,"App ID-105618","2014 Fall",32,3.49,57,0,41484,17000,17000,0,941.15,38415,6259,0.9415,NA,NA,NA,1,0,0,1,0,0,0
0,"App ID-105635","2014 Fall",33,4,NA,0,41484,43660,43660,41784,786.28,39265,1609,0.9397,3,0.0019,NA,0,0,0,0,0,0,0
0,"App ID-105699","2014 Fall",23,3.45,NA,0,NA,0,0,0,216.08,84662,21393,0.9231,36,0.0017,2017,0,0,0,0,0,0,0
0,"App ID-105704","2014 Fall",22,3.38,NA,0,NA,0,0,0,0.64,53139,41737,0.9084,951,0.0228,1356,0,0,0,1,0,0,0
0,"App ID-105715","2014 Fall",23,3.75,NA,0,NA,0,0,0,91.71,49515,17287,0.9498,47,0.0027,2185,0,0,0,1,0,0,0
1,"App ID-105717","2014 Fall",22,2.92,0,0,41484,17060,17060,29414,204.46,105997,17056,0.9698,68,0.004,1383,1,0,0,0,0,0,0
0,"App ID-105843","2014 Fall",23,2.93,NA,0,41484,0,0,41006,202.22,59304,33945,0.8567,51,0.0015,2120,0,0,0,0,0,0,0
1,"App ID-105867","2014 Fall",28,3.87,0,0,41484,16500,16500,13214,820.61,45163,49792,0.9537,44,9e-04,NA,0,0,0,0,0,0,0
0,"App ID-105934","2015 Fall",19,2.97,55,0,41484,22046,21540,33386,175.95,56971,16410,0.9589,24,0.0015,925,0,1,0,1,0,0,0
1,"App ID-105967","2014 Fall",27,3.75,79,0,NA,0,0,0,3.65,66172,31429,0.9349,607,0.0193,1356,0,0,0,1,0,0,0
1,"App ID-106095","2014 Fall",25,3.23,56,0,41484,20420,20420,32947,99.77,39835,4806,0.97,30,0.0062,372,0,1,0,1,0,0,0
1,"App ID-106115","2014 Fall",27,3.5,71,0,41484,0,0,44474,0.64,53139,41737,0.9084,951,0.0228,1356,0,0,0,0,0,0,0
0,"App ID-106125","2014 Fall",20,3.28,NA,0,41484,12570,12570,16769,240.29,68239,24933,0.882,107,0.0043,1173,0,1,0,1,0,0,0
0,"App ID-106168","2014 Fall",0,3.45,NA,0,41484,0,0,34813,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0
0,"App ID-106310","2014 Fall",22,3.35,NA,0,NA,0,0,0,0.64,53139,41737,0.9084,951,0.0228,1356,0,0,0,0,0,1,1
1,"App ID-106311","2014 Fall",25,3.16,53,0,41484,22216,19870,35687,0.64,53139,41737,0.9084,951,0.0228,1356,1,0,0,1,0,1,1
0,"App ID-106314","2014 Fall",20,3.29,NA,0,41484,7500,7500,8710,145.87,64278,10099,0.9377,23,0.0023,NA,0,0,0,0,0,0,0
1,"App ID-106317","2014 Fall",29,3.95,0,0,41484,21000,21000,19741,1207.19,70738,28482,0.8888,NA,NA,NA,1,0,0,0,0,0,1
0,"App ID-106415","2014 Fall",23,3.75,NA,0,41484,14540,14540,18176,136.7,61131,4825,0.9838,36,0.0075,446,0,0,0,1,0,0,0
0,"App ID-106420","2014 Fall",20,3.02,NA,0,NA,0,0,0,73.7,49018,36448,0.906,163,0.0045,NA,0,0,0,1,0,0,0
0,"App ID-106424","2014 Fall",22,3.56,NA,0,41484,23870,18890,38567,158.35,59358,7276,0.9736,8,0.0011,436,0,0,0,1,0,0,0
1,"App ID-106426","2014 Fall",24,3.83,87,0,41484,24270,24270,34685,231.03,58061,41763,0.9148,37,9e-04,NA,0,0,0,0,0,0,0
0,"App ID-106427","2014 Fall",21,2.79,NA,0,NA,0,0,0,232.16,88246,33316,0.9112,67,0.002,NA,0,0,0,1,0,0,0
0,"App ID-106491","2014 Fall",26,2.63,NA,0,41484,25154,16140,44474,229.64,46354,47040,0.9093,56,0.0012,784,0,0,0,1,0,0,0
0,"App ID-106494","2014 Fall",22,3.32,NA,0,NA,0,0,0,202.61,51143,3293,0.9736,5,0.0015,NA,0,0,0,0,0,0,0
0,"App ID-106496","2014 Fall",20,3.91,NA,0,41484,13000,13000,11675,90.74,47855,12691,0.9344,61,0.0048,NA,0,0,0,1,0,0,0
1,"App ID-106503","2014 Fall",27,3.51,0,0,41484,13500,13500,0,217.99,70106,38611,0.9219,74,0.0019,1149,0,1,0,1,0,0,0
0,"App ID-106507","2014 Fall",29,2.94,NA,0,NA,0,0,0,227.3,78919,35273,0.9343,89,0.0025,NA,1,0,0,0,0,0,0
0,"App ID-106508","2014 Fall",29,4,NA,0,41484,22990,22990,32844,68.53,44007,2965,0.9636,29,0.0098,172,0,0,0,0,0,0,0
0,"App ID-106510","2014 Fall",27,3.81,NA,0,NA,0,0,0,283.49,65126,53242,0.8189,111,0.0021,NA,0,0,0,0,0,0,0
1,"App ID-106512","2014 Fall",26,3.32,56,0,41484,18750,18750,27124,154.63,49545,1760,0.9869,9,0.0051,NA,0,0,0,1,0,0,0
0,"App ID-106513","2014 Fall",23,3.36,NA,0,41484,0,0,44474,198.31,90286,9991,0.944,9,9e-04,NA,0,0,0,0,1,0,0
0,"App ID-106514","2014 Fall",24,3.87,94,0,41484,23481,22870,34295,202.61,51143,3293,0.9736,5,0.0015,NA,0,0,0,0,0,0,0
0,"App ID-106515","2014 Fall",22,3.27,NA,0,NA,0,0,0,680.05,47222,1627,0.9668,NA,NA,NA,0,1,0,1,0,0,0
0,"App ID-106529","2014 Fall",21,3.45,60,0,41484,14910,14910,10762,90.74,47855,12691,0.9344,61,0.0048,NA,0,0,0,1,0,0,0
0,"App ID-106532","2014 Fall",23,2.65,NA,0,NA,0,0,0,149.24,75050,17801,0.9389,94,0.0053,NA,0,0,0,1,0,0,0
0,"App ID-106535","2014 Fall",31,4,NA,0,41484,23750,23750,32125,0.64,53139,41737,0.9084,951,0.0228,223,0,0,0,1,0,0,0
1,"App ID-106536","2014 Fall",24,3.94,95,0,41484,21250,21250,15202,175.95,56971,16410,0.9589,24,0.0015,925,0,0,0,0,0,0,0
0,"App ID-106538","2014 Fall",26,3.84,NA,0,41484,21250,21250,26594,90.74,47855,12691,0.9344,61,0.0048,NA,0,0,0,1,0,0,0
0,"App ID-106543","2014 Fall",27,3.83,NA,0,41484,15500,15500,0,200.45,92392,46901,0.9383,111,0.0024,1614,0,0,0,0,0,0,0
0,"App ID-106544","2014 Fall",23,3.43,NA,0,NA,0,0,0,179.03,75287,18758,0.952,37,0.002,857,0,0,0,1,0,0,0
0,"App ID-106549","2014 Fall",28,3.11,NA,0,41484,20330,20330,31550,215.51,64709,44095,0.8363,106,0.0024,1671,0,0,0,0,1,0,0
0,"App ID-106556","2014 Fall",18,3.39,54,0,NA,0,0,0,179.03,75287,18758,0.952,37,0.002,498,0,0,0,0,0,0,0
0,"App ID-120950","2014 Fall",20,3.8,NA,0,NA,0,0,0,152.83,52693,32895,0.849,64,0.0019,NA,0,0,0,0,0,0,0
0,"App ID-120951","2014 Fall",29,3.88,NA,0,41484,22500,22500,32061,221.06,98596,31003,0.9154,80,0.0026,2154,1,0,0,0,0,0,0
1,"App ID-120956","2014 Fall",21,3.28,57,0,41484,18610,18610,34693,200.45,92392,46901,0.9383,111,0.0024,1614,0,0,0,0,0,0,1
1,"App ID-120958","2014 Fall",25,3.69,77,0,41484,16000,16000,0,219.29,70573,16947,0.9526,37,0.0022,1345,1,0,0,0,0,0,1
1,"App ID-120960","2014 Fall",24,3.35,0,0,41484,13900,13900,18541,1232.06,79342,18611,0.8502,NA,NA,NA,0,0,0,1,0,0,0
0,"App ID-120962","2014 Fall",22,3.14,NA,0,NA,0,0,0,219.02,95024,28035,0.8301,77,0.0027,2154,0,0,0,0,0,0,0
0,"App ID-120963","2014 Fall",28,3.96,NA,0,41484,22920,22920,32757,216.72,58392,26739,0.9406,47,0.0018,NA,0,0,0,1,0,0,0
0,"App ID-120964","2014 Fall",28,3.53,NA,0,NA,0,0,0,207.49,78141,25954,0.9145,86,0.0033,NA,0,0,0,1,0,0,0
0,"App ID-120966","2014 Fall",28,3.83,NA,0,NA,0,0,0,208.15,50000,16616,0.983,15,9e-04,NA,1,0,0,1,0,0,0
0,"App ID-120967","2014 Fall",32,3.97,NA,0,41484,20000,20000,0,218.11,76850,27560,0.8872,72,0.0026,NA,1,0,0,0,0,0,0
1,"App ID-120969","2014 Fall",27,3.95,92,0,41484,28586,20000,43092,99.81,47772,33463,0.856,122,0.0036,1145,1,0,0,0,0,0,1
0,"App ID-120973","2014 Fall",24,2.7,NA,0,41484,0,0,43048,6532.99,NA,NA,NA,NA,NA,NA,0,0,0,1,1,0,0
1,"App ID-120982","2014 Fall",30,3.05,40,0,41484,25690,14500,44460,221.06,98596,31003,0.9154,80,0.0026,2154,0,0,0,0,1,0,0
1,"App ID-120983","2014 Fall",26,3.92,87,0,41484,20000,17000,28626,84.98,47375,1151,0.987,3,0.0026,NA,0,1,0,0,0,0,0
1,"App ID-120985","2014 Fall",21,3,38,0,41484,5500,5500,8725,257.13,54126,28947,0.9082,82,0.0028,1442,0,0,0,1,0,0,0
0,"App ID-121017","2015 Fall",0,NA,88,0,43064,0,0,43023,1083.4,40172,994,0.9899,NA,NA,NA,1,0,0,0,0,0,0
0,"App ID-121280","2015 Fall",25,3.86,98,0,NA,0,0,0,524.03,40717,27323,0.6282,2,1e-04,NA,0,0,0,1,0,0,0
0,"App ID-121346","2015 Fall",20,3.59,82,0,NA,0,0,0,137.73,60035,3011,0.9738,NA,NA,183,0,0,0,0,0,0,0
0,"App ID-121425","2015 Fall",26,3.4,63,0,NA,0,0,0,351.88,50181,26117,0.9611,2,1e-04,NA,0,0,0,0,0,0,0
0,"App ID-121541","2015 Fall",22,3.04,64,0,NA,0,0,0,244.55,47460,5189,0.9566,6,0.0012,NA,0,0,0,1,0,1,1
1,"App ID-121551","2015 Fall",24,3.97,91,0,43064,26500,26500,37335,441.88,49034,26451,0.8804,11,4e-04,NA,0,0,0,0,0,1,1
1,"App ID-121624","2015 Fall",26,3.91,92,0,43064,28735,22000,41158,232.16,88246,33316,0.9112,67,0.002,NA,1,0,0,0,0,1,1
0,"App ID-121632","2015 Fall",33,3.97,97,0,NA,0,0,0,232.16,88246,33316,0.9112,67,0.002,NA,1,0,0,1,0,0,0
0,"App ID-121692","2015 Fall",31,3.99,99,0,43064,18500,18500,15015,211.31,74248,23639,0.9505,41,0.0017,NA,0,1,1,0,0,0,0
0,"App ID-121715","2015 Fall",28,3.99,98,0,43064,19060,19060,21061,216.08,84662,21393,0.9231,36,0.0017,2257,0,0,0,0,0,0,0
0,"App ID-121725","2015 Fall",22,3.2,55,0,NA,0,0,0,192.76,65108,12775,0.9617,6,5e-04,1367,1,0,0,0,0,0,0
1,"App ID-121801","2015 Fall",31,4,99,0,43064,28688,22630,39098,178.78,45802,9534,0.9751,26,0.0027,454,1,1,0,0,0,0,1
1,"App ID-121814","2015 Fall",27,3.36,66,0,43064,27150,22540,39709,225.52,80609,49911,0.838,142,0.0028,2056,1,0,0,1,0,0,0
0,"App ID-121821","2015 Fall",23,3.52,72,0,NA,0,0,0,240.29,68239,24933,0.882,107,0.0043,1173,0,0,0,1,0,0,0
0,"App ID-121829","2016 Fall",26,4.29,90,0,44668,17000,17000,0,257.13,54126,28947,0.9082,82,0.0028,1442,0,0,1,0,0,0,1
1,"App ID-121878","2015 Fall",25,3.05,45,0,43064,15010,15010,15952,194.35,47055,9502,0.9631,10,0.0011,395,0,0,1,1,0,0,0
0,"App ID-121886","2015 Fall",31,3.53,77,0,NA,0,0,0,229.82,85849,28475,0.8547,67,0.0024,2013,0,0,0,0,0,0,0
0,"App ID-121920","2015 Fall",25,3.93,91,0,NA,0,0,0,224.78,55190,20368,0.8346,28,0.0014,768,0,0,0,0,0,0,1
0,"App ID-121949","2015 Fall",27,3.67,0,0,NA,0,0,0,227.3,78919,35273,0.9343,89,0.0025,NA,0,0,0,0,0,0,0
0,"App ID-121963","2016 Fall",28,2.34,33,1,NA,0,0,0,220.01,47119,17510,0.8132,38,0.0022,NA,0,1,0,1,0,0,0
0,"App ID-122052","2015 Fall",28,3.95,98,0,43064,0,0,0,221.54,43127,56467,0.4714,37,7e-04,NA,0,0,1,1,0,0,0
1,"App ID-122072","2015 Fall",26,3.86,96,0,NA,0,0,0,215.59,61465,15405,0.7956,61,0.004,NA,1,0,1,0,0,1,1
1,"App ID-122085","2015 Fall",26,3.83,96,0,43064,22000,22000,16328,217.99,70106,38611,0.9219,74,0.0019,2257,1,0,1,0,0,0,0
0,"App ID-122102","2015 Fall",27,3.83,0,0,43064,21250,21250,27105,215.07,61448,39628,0.8198,139,0.0035,NA,1,0,0,1,0,0,0
1,"App ID-122230","2015 Fall",30,2.71,26,0,43064,14500,14500,0,224.95,108128,26181,0.8483,117,0.0045,2147,0,1,1,1,0,1,1
1,"App ID-122242","2015 Fall",32,3.98,98,0,43064,20000,20000,0,225.52,80609,49911,0.838,142,0.0028,2056,1,1,0,0,0,1,1
0,"App ID-122250","2016 Fall",30,3.94,95,0,44668,22500,22500,13670,225.52,80609,49911,0.838,142,0.0028,2056,0,1,1,0,0,1,1
0,"App ID-122270","2016 Fall",22,3.83,0,1,NA,0,0,0,228.02,91259,43051,0.8276,120,0.0028,1715,0,0,0,0,0,0,1
1,"App ID-122297","2016 Fall",28,3.34,0,0,44668,25200,25200,34198,213.02,79660,25780,0.8702,105,0.0041,1671,0,0,0,0,0,0,0
0,"App ID-122298","2015 Fall",24,3.11,0,0,NA,0,0,0,213.02,79660,25780,0.8702,105,0.0041,1671,0,1,0,1,0,0,0
0,"App ID-122305","2015 Fall",25,3.52,0,0,NA,0,0,0,215.34,88271,17224,0.8845,65,0.0038,1149,0,0,0,0,0,1,1
0,"App ID-122312","2015 Fall",31,3.6,0,0,NA,0,0,0,223.27,65984,28548,0.7984,45,0.0016,NA,0,0,0,1,0,0,0
1,"App ID-122317","2015 Fall",32,3.96,98,0,43064,28754,22230,40831,223.27,65984,28548,0.7984,45,0.0016,1671,0,0,1,1,0,0,0
1,"App ID-122319","2015 Fall",32,3.9,96,0,43064,28754,22230,40820,223.27,65984,28548,0.7984,45,0.0016,1671,0,1,1,0,0,0,0
0,"App ID-122337","2014 Fall",27,3.88,NA,0,NA,0,0,0,186.41,89813,10859,0.8246,21,0.0019,1626,0,0,0,0,0,0,0
1,"App ID-122338","2015 Fall",30,3.92,89,0,43064,17500,17500,0,196.6,58218,7006,0.977,20,0.0029,498,1,1,0,0,0,0,0
1,"App ID-122373","2015 Fall",28,3.67,89,0,43064,18000,18000,18951,167.76,67734,46812,0.9024,98,0.0021,2157,0,0,0,0,0,0,0
1,"App ID-122383","2015 Fall",24,3.57,79,0,43064,18000,18000,0,200.45,92392,46901,0.9383,111,0.0024,1614,1,0,1,0,0,0,0
0,"App ID-122397","2015 Fall",34,3.95,99,0,43064,24420,24420,33460,200.45,92392,46901,0.9383,111,0.0024,1614,0,0,0,0,0,0,0
1,"App ID-122424","2015 Fall",22,3.47,82,0,43064,15000,15000,17527,222.65,61417,16389,0.783,37,0.0023,NA,0,0,0,0,0,0,0
1,"App ID-122432","2015 Fall",30,3.52,66,0,41484,20800,20800,30152,179.03,75287,18758,0.952,37,0.002,1087,0,0,1,0,0,0,0
0,"App ID-122436","2015 Fall",34,3.98,99,0,NA,0,0,0,199.05,109465,34441,0.8556,155,0.0045,NA,0,0,0,0,0,0,0
1,"App ID-122521","2015 Fall",27,3.82,95,0,41484,27036,23600,38051,201.96,79639,10529,0.5045,14,0.0013,2571,0,0,1,1,0,0,1
0,"App ID-122527","2016 Fall",19,3.15,0,0,NA,0,0,0,207.53,104774,20057,0.8963,84,0.0042,1383,0,0,0,0,0,1,1
1,"App ID-122553","2015 Fall",24,3.13,36,0,43064,28396,19610,32478,170.46,57636,4421,0.9851,20,0.0045,557,0,0,1,1,0,1,1
1,"App ID-122558","2015 Fall",27,3.72,0,0,43064,16000,16000,11935,94.45,51867,24208,0.9752,221,0.0091,NA,0,0,0,0,0,0,0
1,"App ID-122561","2015 Fall",23,3.05,44,0,43064,23190,22130,35300,186.59,76504,36989,0.9383,82,0.0022,NA,0,0,0,1,0,1,1
0,"App ID-122570","2015 Fall",32,3.4,0,0,NA,0,0,0,204.46,105997,17056,0.9698,68,0.004,2750,0,0,1,1,0,1,1
1,"App ID-122715","2015 Fall",24,3.2,62,0,41484,13500,13500,24692,178.26,54000,18013,0.9533,65,0.0036,762,0,0,0,0,0,1,1
0,"App ID-122732","2015 Fall",28,3.79,0,0,NA,0,0,0,194.93,89805,6141,0.9655,18,0.0029,876,0,0,0,0,0,0,0
0,"App ID-122769","2016 Fall",25,3.91,92,1,44668,27804,25440,37578,175.95,56971,16410,0.9589,24,0.0015,925,0,1,0,0,0,1,1
0,"App ID-122773","2015 Fall",31,3.97,93,0,NA,0,0,0,175.95,56971,16410,0.9589,24,0.0015,925,0,0,0,1,0,0,1
1,"App ID-122783","2015 Fall",27,3.87,93,0,43064,19000,19000,0,190.01,83460,5672,0.9672,9,0.0016,1626,0,0,0,0,0,0,0
1,"App ID-122787","2015 Fall",26,3.89,90,0,43064,16000,15500,16316,192.27,99016,13932,0.9427,34,0.0024,1626,0,0,0,0,0,1,1
0,"App ID-122814","2015 Fall",28,3.6,80,0,43064,20500,20500,27814,219.02,95024,28035,0.8301,77,0.0027,2154,0,1,1,1,0,0,1
1,"App ID-122818","2015 Fall",26,3.38,62,0,41484,19550,19550,35802,211.78,79174,42276,0.7615,93,0.0022,NA,1,0,0,0,0,0,0
1,"App ID-122820","2015 Fall",29,3.74,86,0,43064,21000,21000,0,211.78,79174,42276,0.7615,93,0.0022,NA,1,0,1,0,0,0,0
0,"App ID-122840","2015 Fall",23,3.55,78,0,NA,0,0,0,184.88,57574,2812,0.9648,3,0.0011,NA,0,0,1,0,0,0,1
0,"App ID-122849","2015 Fall",27,3.94,91,0,41484,22500,22500,28711,180.53,72725,16022,0.9701,28,0.0017,925,0,0,0,1,0,0,0
0,"App ID-122874","2015 Fall",0,3.34,0,0,43064,0,0,0,215.68,59464,32976,0.7974,87,0.0026,130,1,0,1,1,0,0,0
0,"App ID-122926","2015 Fall",26,3.69,81,0,43064,24772,24120,35394,210.83,75591,30452,0.8681,122,0.004,NA,0,1,0,0,0,1,1
0,"App ID-122938","2015 Fall",26,3.35,66,0,43064,0,0,33237,211.4,57364,30550,0.7815,79,0.0026,NA,0,0,0,0,1,0,0
1,"App ID-122948","2015 Fall",20,2.92,0,0,43064,24272,20370,38199,218.46,51150,22777,0.7306,41,0.0018,NA,0,0,0,0,1,0,0
0,"App ID-122981","2015 Fall",25,3.04,47,0,41484,12500,12500,6321,209.4,61211,25504,0.7832,79,0.0031,NA,1,0,0,1,0,1,1
0,"App ID-123008","2015 Fall",28,3.71,0,0,NA,0,0,0,217.44,64815,18470,0.8281,58,0.0031,NA,0,0,0,0,1,0,0
0,"App ID-123044","2015 Fall",22,3.4,68,0,NA,0,0,0,205.9,42771,27137,0.5085,19,7e-04,1789,0,0,0,0,0,1,1
0,"App ID-123139","2015 Fall",17,3.51,81,0,NA,0,0,0,201.96,79639,10529,0.5045,14,0.0013,137,0,0,0,0,1,0,1
0,"App ID-123148","2016 Fall",28,3.63,0,1,NA,0,0,0,201.1,100777,21210,0.7743,112,0.0053,NA,0,0,0,0,0,1,1
