"Final.Status","ID","Year","ACT","GPA","HS.Percentile","Royal15","Cost.of.Attendance","Total.Gift","Total.Institutional.Gift","Gross.Need","Distance.Mhd","Zip.Median.Income","Zip.Population","Zip.Pct.White","Zip.Alumni.Pop","Zip.Alumni.Density","HS.Size","Music.Interest","Athletic.Interest","Legacy.Relationship","Gender.Indicator","Ethnicity.Indicator","Lutheran.Indicator","Religious.Indicator"
0,"App ID-251444","2016 Fall",29,4.11,99,1,44668,30800,30800,42938,3791.09,66275,4091,0.3869,NA,NA,NA,1,1,0,1,1,0,1
0,"App ID-251445","2016 Fall",0,3.4,98,1,44668,0,0,47681,1197.17,22309,43261,0.5075,NA,NA,NA,0,0,0,0,1,0,1
0,"App ID-251446","2016 Fall",18,2.78,20,1,NA,0,0,0,232.62,81949,34764,0.8582,55,0.0016,NA,0,0,0,1,0,0,0
0,"App ID-251447","2016 Fall",0,3.8,98,1,44668,29600,29600,42435,278.02,50872,3901,0.9656,NA,NA,NA,0,0,0,0,1,0,0
0,"App ID-251454","2016 Fall",24,3.64,71,1,NA,0,0,0,104.45,49167,2309,0.9857,25,0.0108,NA,0,0,0,1,0,0,1
0,"App ID-251458","2016 Fall",32,2.84,46,1,44668,0,0,46572,NA,56762,18231,0.8915,2,1e-04,NA,0,0,0,1,1,0,1
0,"App ID-251464","2016 Fall",0,4,0,1,NA,0,0,0,NA,60518,26479,0.821,NA,NA,NA,0,0,0,0,0,1,1
0,"App ID-251469","2016 Fall",17,3.43,65,1,44668,0,0,0,202.61,51143,3293,0.9736,5,0.0015,NA,0,0,0,1,0,0,0
0,"App ID-251488","2016 Fall",21,2.78,0,1,44668,0,0,45508,1179.25,119637,20739,0.763,NA,NA,NA,0,0,0,1,0,0,0
0,"App ID-251492","2016 Fall",20,3.53,0,1,44668,25312,21120,37793,122.79,58310,7646,0.9912,71,0.0093,NA,0,0,0,1,0,0,1
0,"App ID-251528","2016 Fall",25,3.53,71,1,NA,0,0,0,173.52,49628,15523,0.8847,38,0.0024,NA,0,0,0,0,0,0,1
0,"App ID-251529","2016 Fall",23,3.02,44,1,NA,0,0,0,718.55,65109,25380,0.9467,19,7e-04,NA,0,0,0,0,0,0,0
0,"App ID-251531","2016 Fall",20,3.59,82,1,NA,0,0,0,271.58,61299,4090,0.9638,6,0.0015,283,0,0,0,0,0,0,1
1,"App ID-251532","2016 Fall",33,3.81,85,1,44668,26600,26600,24643,149.24,75050,17801,0.9389,94,0.0053,1078,1,1,0,1,0,1,1
0,"App ID-251534","2016 Fall",28,3.83,89,1,44668,29600,29600,41151,245.87,54087,4633,0.9456,3,6e-04,NA,1,0,0,1,0,1,1
0,"App ID-251535","2016 Fall",25,3.62,80,1,NA,0,0,0,2.66,41554,31233,0.8977,362,0.0116,1671,0,0,0,0,0,1,1
0,"App ID-251540","2016 Fall",0,3.3,43,1,44668,22400,22400,31279,1216.51,68166,63662,0.8618,NA,NA,NA,0,0,0,1,1,0,0
1,"App ID-251573","2016 Fall",22,3.07,51,1,44668,25200,25200,42343,610.59,44896,12525,0.8529,15,0.0012,NA,0,0,0,1,0,0,1
0,"App ID-251575","2016 Fall",22,2.95,47,1,NA,0,0,0,80.65,45168,10522,0.9699,74,0.007,405,0,0,0,0,0,1,1
1,"App ID-251576","2016 Fall",0,3.2,63,1,44668,26265,16450,48188,1215.22,78902,24685,0.811,NA,NA,NA,0,0,0,1,1,0,1
0,"App ID-251577","2016 Fall",0,2.62,27,1,NA,0,0,0,285.05,72706,18353,0.8555,48,0.0026,NA,0,0,0,0,0,0,1
1,"App ID-251582","2016 Fall",30,3.71,78,1,NA,0,0,0,3.65,66172,31429,0.9349,607,0.0193,NA,1,0,0,0,0,0,0
0,"App ID-251583","2016 Fall",27,3.03,44,1,NA,0,0,0,213.6,71755,7413,0.9906,15,0.002,1057,0,0,0,1,0,0,0
0,"App ID-251586","2016 Fall",22,2.71,24,1,NA,0,0,0,66.68,48438,739,0.9432,1,0.0014,NA,0,0,0,0,0,1,1
0,"App ID-251588","2016 Fall",18,2.93,51,1,NA,0,0,0,174.31,51012,3284,0.9781,2,6e-04,436,0,0,0,1,0,1,1
0,"App ID-251589","2016 Fall",27,3.16,68,1,NA,0,0,0,211.78,79174,42276,0.7615,93,0.0022,NA,0,0,0,0,0,0,0
0,"App ID-251590","2016 Fall",0,3.57,0,1,NA,0,0,0,1166.78,65864,21353,0.9069,NA,NA,NA,0,0,0,0,1,0,1
0,"App ID-251592","2016 Fall",24,2.74,71,1,NA,0,0,0,386.79,24323,22558,0.2748,NA,NA,NA,0,0,0,1,1,0,0
1,"App ID-251596","2016 Fall",27,3.79,85,1,44668,18000,18000,0,6.17,69383,28728,0.9095,310,0.0108,6335,0,0,0,0,0,1,1
1,"App ID-251610","2016 Fall",0,2.93,30,1,NA,0,0,0,94.45,51867,24208,0.9752,221,0.0091,1126,0,0,0,1,0,0,1
1,"App ID-252411","2016 Fall",19,3.15,75,1,44668,0,0,47758,221.24,65126,44656,0.736,85,0.0019,NA,0,0,0,0,1,0,1
