"Final.Status","ID","Year","ACT","GPA","Royal15","Distance.Mhd","Zip.Median.Income","Zip.Population","Zip.Pct.White","Zip.Alumni.Density","Music.Interest","Athletic.Interest","Legacy.Relationship","Gender.Indicator","Ethnicity.Indicator","Lutheran.Indicator","Religious.Indicator","ACT.High","ACT.Low","GPA.High","GPA.Low","Distance.High","Distance.Low"
0,"App ID-89162","2014 Fall",24,3.73,0,189.77,96618,2888,0.9567,0.0038,0,1,0,0,0,0,0,0,1,0,0,0,0
1,"App ID-89261","2014 Fall",20,3.45,0,158.35,59358,7276,0.9736,0.0011,1,0,0,0,0,0,0,0,1,0,0,0,0
0,"App ID-89290","2014 Fall",27,3.33,0,820.61,45163,49792,0.9537,9e-04,0,0,0,0,1,0,0,0,0,0,0,1,0
0,"App ID-89294","2014 Fall",19,2.94,0,223.53,70156,5353,0.9879,2e-04,0,0,0,0,0,0,0,0,1,0,1,0,0
0,"App ID-89353","2014 Fall",29,2.69,0,209.4,61211,25504,0.7832,0.0031,0,1,0,1,0,0,0,0,0,0,1,0,0
0,"App ID-89398","2014 Fall",21,2.45,1,186.59,76504,36989,0.9383,0.0022,0,0,0,1,0,0,1,0,1,0,1,0,0
1,"App ID-89481","2014 Fall",26,3.65,0,145.87,64278,10099,0.9377,0.0023,0,0,0,1,0,0,0,0,0,0,0,0,0
0,"App ID-89558","2014 Fall",18,3.14,0,221.54,43127,56467,0.4714,7e-04,0,0,0,0,1,0,0,0,1,0,0,0,0
0,"App ID-89601","2015 Fall",28,4,1,205.19,48646,448,0.9955,0.0022,1,1,0,0,0,0,1,0,0,1,0,0,0
1,"App ID-89650","2014 Fall",23,3.55,0,137.28,51016,2466,0.9773,0.0061,1,0,0,1,0,0,0,0,1,0,0,0,0
0,"App ID-89780","2014 Fall",22,4,0,821.19,52969,7894,0.9431,1e-04,0,0,0,0,0,0,0,0,1,1,0,1,0
1,"App ID-89790","2014 Fall",28,3.14,0,160.87,53723,9681,0.9721,0.0052,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"App ID-89916","2014 Fall",19,2.89,1,199.33,86788,23591,0.8855,0.0025,0,0,0,1,0,1,1,0,1,0,1,0,0
0,"App ID-90122","2014 Fall",23,3.37,0,215.68,59464,32976,0.7974,0.0026,1,0,0,0,0,0,0,0,1,0,0,0,0
0,"App ID-90271","2014 Fall",29,3.56,0,185.12,55313,611,1,0.0033,1,0,0,0,0,0,0,0,0,0,0,0,0
0,"App ID-90293","2014 Fall",24,2.98,0,563.19,41834,40234,0.8513,4e-04,0,0,0,0,0,0,0,0,1,0,1,1,0
0,"App ID-90326","2014 Fall",26,3.78,0,128.09,48178,29469,0.9582,0.0036,0,0,0,0,0,0,0,0,0,0,0,0,0
