"zip","distance"
"80227","648.88"
"54022","242.43"
"25443","1079.97"
"66441","541.06"
"59102","567.55"
"55376","187.44"
"56131","214.1"
"56087","200.66"
"58237","111.59"
"56072","259.13"
"56368","145.11"
"56586","57.44"
"56007","276.3"
"56584","37.42"
"54835","276.26"
"56071","221.58"
"55009","247.11"
"80816","697.65"
"56544","50.17"
"57201","136.44"
"55329","148.65"
"58061","41.28"
"56352","125.37"
"55804","225.73"
"53215","506.64"
"55103","218.49"
"55021","244.61"
"55616","240.28"
"58052","27.08"
"55117","218.47"
"58448","68.68"
"56062","225.06"
"60449","582.14"
"55372","221.06"
"55723","200.17"
"80920","678.38"
"57035","217.69"
"59106","571.91"
"55976","293.24"
"56590","62.78"
"55127","215.34"
"55807","217.35"
"56518","77.35"
"56435","113.04"
"55076","226.85"
"86003","1109.84"
"55340","196.66"
"58041","54.9"
"56431","146.56"
"60115","521.36"
"55320","164.08"
"32807","1513.82"
"55425","218.94"
"55367","191.56"
"56360","102.49"
"56477","80.84"
"55810","213.48"
"98387","1202.32"
"56027","266.12"
"56721","74.57"
"38732","959.46"
"9034",NA
"59471","563.16"
"98466","1207.21"
"56468","120.06"
"43035","827.06"
"98110","1203.31"
"56549","20.97"
"53589","458"
"56570","72.79"
"59230","468.52"
"58356","124.67"
"917",NA
"934",NA
"55118","221.86"
"58202","74.33"
"55116","218.74"
"60625","559.62"
"30135","1105.09"
"59337","472.42"
"15666","976.03"
"59330","375.06"
"15143","933.93"
"56552","23.73"
"56726","130.94"
"56633","107.55"
"56678","90.35"
"58763","278.13"
"55008","191.26"
"55017","180.45"
"56524","66.76"
"58081","45"
"55746","184.03"
"56589","47.87"
"57501","244.04"
"54880","221.93"
"58722","238.21"
"58265","147.63"
"58267","71.04"
"58235","91.5"
"54806","279.1"
"59262","358.11"
"59919","810.1"
"59270","351.3"
"59864","814.76"
"59903","823.56"
"59911","809.27"
"59057","577.16"
"59053","650.17"
"56157","173.41"
"55711","193.11"
"56011","210.87"
"55374","192.27"
"54025","229.56"
"57105","230.71"
"53081","488.45"
"82435","594.87"
"54007","241.23"
"56288","141.46"
"30083","1116.03"
"55981","286.79"
"52301","419.11"
"56636","144.04"
"56055","226.27"
"80210","644.37"
"56253","158.65"
"55389","152.49"
"56251","147.82"
"56215","120.54"
"56358","174.31"
"56345","129.55"
"56364","140.82"
"56384","126.89"
"56310","139.84"
"55349","179.76"
"77095","1172.28"
"55419","214.89"
"56267","97.23"
"54476","370.97"
"53149","495.69"
"55704","191.9"
"55069","198.59"
"58059","13.79"
"55056","203.97"
"55020","229.21"
"56252","131.95"
"56467","92.37"
"56433","96.75"
"56551","76.91"
"55803","219.29"
"55731","238.79"
"56339","84.98"
"53916","451.31"
"55106","221.54"
"56367","146.11"
"55364","199.77"
"13676","1056.37"
"55092","208.82"
"59741","696.89"
"56473","121.94"
"59404","685.03"
"85254","1211.2"
"59427","732.62"
"55107","221.65"
"55954","334.98"
"60613","561.86"
"59405","680.72"
"59711","769.8"
"55319","164.37"
"60104","556.72"
"58058","49.28"
"55428","204.35"
"56465","125.73"
"55962","319.92"
"56649","195.76"
"55075","224.78"
"96707","3809.84"
"19079","1175.82"
"56464","84.84"
"60639","559.82"
"55735","186.35"
"56296","74.21"
"60643","573.48"
"55308","171.99"
"57760","352.91"
"58540","224.44"
"59871","817.92"
"56574","22.9"
"59758","707.37"
"60615","571.03"
"60443","579.48"
"55921","339.25"
"56732","119.03"
"60012","522.61"
"59808","812.83"
"53522","451.86"
"55130",NA
"57350","186.56"
"56013","257.42"
"56440","99.91"
"60636","569.68"
"80615","589.35"
"59215","417.49"
"56318","124.07"
"61080","484.9"
"55923","304.69"
"59323","474.07"
"59829","829.36"
"58072","58.62"
"59218","372.2"
"93101","1468.51"
"57703","367.25"
"54767","258.16"
"56662","135.15"
"59079","554.96"
"59604","718.27"
"55808","214.67"
"55388","192.91"
"60628","575.32"
"56359","157.18"
"60085","536.17"
"58639","285.99"
"53022","491.17"
"60620","571.71"
"60609","568.55"
"60428",NA
"56172","204.67"
"55354","189.24"
"53941","393.93"
"57469","161.03"
"80537","610.6"
"46321","586.34"
"55751","196.61"
"59421","702.2"
"55310","170.52"
"56728","132.22"
"56569","39.81"
"37343","1005.02"
"60632","566.5"
"56085","202.79"
"72476","802.96"
"59725","770.28"
"55427","207.09"
"58740","237.28"
"83352","902.09"
"56312","128.47"
"55792","204.05"
"56065","244.18"
"56331","128.58"
"80550","598.91"
"52001","422.97"
"54115","451.56"
"53140","528.26"
"60608","566.4"
"54871","234.8"
"57108","234.01"
"55445","201.96"
"55013","211.85"
"56375","143.65"
"60623","564.57"
"60120","533.99"
"56283","179.07"
"80829","688.72"
"53534","468.59"
"80866","685.53"
"56271","130.83"
"55906","285.05"
"57702","369.93"
"57437","155.94"
"80128","653.48"
"59301","431.26"
"57401","127.08"
"80465","656.36"
"57107","227.7"
"80435","683.14"
"55317","207.53"
"56442","128.56"
"59713","754.31"
"56385","112.95"
"58474","80.45"
"57220","164.39"
"80528","599.58"
"80447","645.61"
"80863","685.93"
"55115","221.03"
"80910","687.16"
"56141","209.01"
"56446","95.66"
"53029","485.46"
"59841","827.26"
"56737","114.96"
"80134","649.58"
"80109","657.09"
"60462","569.86"
"59634","719.75"
"80513","616.16"
"55324","164.67"
"54701","291.33"
"55381","182.9"
"55080","187.74"
"57301","226.07"
"55418","211.4"
"59873","870.28"
"55417","217.15"
"55353","157.23"
"56634","95.09"
"55025","211.31"
"54728","266.05"
"55301","186.41"
"55410","213.34"
"56241","153.42"
"58249","150.96"
"57104","228.32"
"57033","223.53"
"58076","41.72"
"54722","310.1"
"58064","44.49"
"55041","273.65"
"54656","351.66"
"59068","609.05"
"49855","444.29"
"48054","750.47"
"56144","208.48"
"56156","222.82"
"58458","80.45"
"58274","52.41"
"55104","217.48"
"45429","802.68"
"56307","134.38"
"53083","485.52"
"56239","167.52"
"56111","243.5"
"56580","7.95"
"56742","79.51"
"55390","182.7"
"56127","248.33"
"55382","163"
"56568","47.06"
"57042","197.84"
"56316","122.06"
"56016","271.63"
"7005",NA
"58048","34.97"
"62702","602.98"
"55910","301.33"
"86001","1115.27"
"92505","1401.35"
"80138","643.84"
"60140","522.46"
"37752","978.57"
"56152","195.79"
"96929","6788.41"
"50322","391.33"
"30075","1095.56"
"56222","147.76"
"55120","221.2"
"58472","87.2"
"58422","134.97"
"56519","24.9"
"60304","560.52"
"52302","418.94"
"60134","539.92"
"80016","642.96"
"56171","242.66"
"56149","181.27"
"55920","279.02"
"55429","205.9"
"56481","88.88"
"56474","113.29"
"58741","210.46"
"59860","814.28"
"63501","505.61"
"55385","184.04"
"55734","203.24"
"58467","119.85"
"58301","130.3"
"56671","104.86"
"56336","120.04"
"54166","418.51"
"78006","1188.1"
"58327","117.04"
"56373","137.73"
"58042","10.22"
"59802","812.45"
"30907","1198.84"
"77802","1118.97"
"55769","172.71"
"56097","261.06"
"46160","739.1"
"9128",NA
"89011","1192.9"
"55357","192.26"
"58318","218.09"
"7040",NA
"49931","386.44"
"22408","1145.09"
"72901","803.07"
"77581","1197.35"
"54481","382.96"
"50613","366.39"
"59450","658.4"
"56164","199.21"
"56289","129.88"
"55987","314.93"
"55951","310.54"
"58770","261.5"
"60175","535.51"
"30296","1121.91"
"13053","1045.85"
"98126","1196.86"
"59542","554.81"
"55026","267.88"
"55087","243.27"
"55121","222.72"
"91320","1447.78"
"58250","115.5"
"59932","818.13"
"98229","1192.1"
"58362","142.45"
"55406","215.68"
"75028","954.92"
"3827",NA
"58646","265.55"
"55089","251.44"
"58225","119.25"
"64057","551.53"
"19104","1176.89"
"55315","209.46"
"57332","228.77"
"57040","264.23"
"8234",NA
"58382","141.11"
"58321","120.57"
"58210","124.23"
"51003","270.08"
"12866","1148.53"
"56523","51.67"
"11218","1209.65"
"68136","394.43"
"56295","135.27"
"55030","189.81"
"59801","813.98"
"56187","230.79"
