"zip","distance","Median.Income","Total","White","Pct.White","Alumni.Pop","Alumni.Density"
"",NA,NA,NA,NA,NA,4,NA
"00921",NA,19263,38499,25072,0.6512,NA,NA
"00923",NA,15633,27853,17405,0.6249,NA,NA
"00924",NA,19142,56236,34123,0.6068,NA,NA
"00925",NA,11794,7120,3827,0.5375,NA,NA
"00926",NA,35140,105093,72086,0.6859,NA,NA
"00927",NA,33758,14764,12566,0.8511,NA,NA
"00934",NA,83264,188,63,0.3351,NA,NA
"00936",NA,NA,877,587,0.6693,NA,NA
"00949",NA,24961,80406,43325,0.5388,NA,NA
"00950",NA,NA,0,0,NA,NA,NA
"00951",NA,NA,15,7,0.4667,NA,NA
"00952",NA,18499,9338,2404,0.2574,NA,NA
"00953",NA,29406,73537,45940,0.6247,NA,NA
"00956",NA,23125,75830,46916,0.6187,NA,NA
"00957",NA,23643,44639,26861,0.6017,NA,NA
"00959",NA,26754,48699,29509,0.6059,NA,NA
"00960",NA,NA,2037,868,0.4261,NA,NA
"00961",NA,29169,31774,16564,0.5213,NA,NA
"00962",NA,16289,21204,13940,0.6574,NA,NA
"00965",NA,16135,8978,5432,0.605,NA,NA
"00966",NA,53052,15785,13252,0.8395,NA,NA
"00968",NA,42036,3594,3301,0.9185,NA,NA
"00969",NA,51285,42316,34622,0.8182,NA,NA
"00971",NA,23338,30349,20515,0.676,NA,NA
"00976",NA,29736,61862,38471,0.6219,NA,NA
"00979",NA,38187,16157,12628,0.7816,NA,NA
"00982",NA,26370,15132,8942,0.5909,NA,NA
"00983",NA,27834,40273,22701,0.5637,NA,NA
"00985",NA,24514,35236,19643,0.5575,NA,NA
"00987",NA,31599,60544,35531,0.5869,NA,NA
"01001",NA,60775,17141,15839,0.924,NA,NA
"01002",NA,55082,29844,23822,0.7982,NA,NA
"01003",NA,NA,11062,8662,0.783,NA,NA
"01005",NA,68361,5113,4992,0.9763,NA,NA
"01007",NA,74221,14774,13922,0.9423,NA,NA
"01008",NA,71979,1212,1202,0.9917,NA,NA
"01009",NA,40929,546,512,0.9377,NA,NA
"01010",NA,82365,3667,3667,1,NA,NA
"01011",NA,65324,1478,1420,0.9608,NA,NA
"01012",NA,56146,499,493,0.988,NA,NA
"01013",NA,41342,22299,18553,0.832,NA,NA
"01020",NA,52236,30593,27076,0.885,NA,NA
"01022",NA,60353,2711,2202,0.8122,NA,NA
"01026",NA,51213,1009,951,0.9425,NA,NA
"01027",NA,58551,17652,16312,0.9241,NA,NA
"01028",NA,84173,15917,14928,0.9379,NA,NA
"01029",NA,52566,701,663,0.9458,NA,NA
"01030",NA,68326,11485,10908,0.9498,NA,NA
"01031",NA,43583,1389,1283,0.9237,NA,NA
"01032",NA,65000,585,572,0.9778,NA,NA
"01033",NA,79647,6214,6166,0.9923,NA,NA
"01034",NA,77448,2061,2000,0.9704,NA,NA
"01035",NA,74737,5285,5036,0.9529,NA,NA
"01036",NA,79639,5141,5067,0.9856,NA,NA
"01037",NA,91471,721,666,0.9237,NA,NA
"01038",NA,65536,2837,2741,0.9662,NA,NA
"01039",NA,68500,1354,1321,0.9756,NA,NA
"01040",NA,35550,40079,32474,0.8102,NA,NA
"01050",NA,52813,2512,2314,0.9212,NA,NA
"01053",NA,59850,1847,1629,0.882,NA,NA
"01054",NA,78125,1836,1703,0.9276,NA,NA
"01056",NA,61410,21288,20300,0.9536,NA,NA
"01057",NA,66343,8645,8371,0.9683,NA,NA
