"ID","Date.App.Submitted","Date.App.Completed","Date.Deposited","Date.FAFSA.Received","Date.Award.Packaged","Date.CREDO.Invitation.Sent","Date.CREDO.Contract.Received"
"App ID-75440","2013-07-29",NA,"2013-10-23","2014-02-18","2014-03-17","2014-03-10",NA
"App ID-75441","2013-08-20",NA,"2013-09-30","2014-02-18",NA,NA,NA
"App ID-75442","2013-03-13",NA,"2013-08-09","2014-02-25","2014-03-19",NA,NA
"App ID-75443","2013-09-04",NA,"2013-10-04","2014-02-19","2014-03-20",NA,NA
"App ID-75444","2013-09-12",NA,NA,NA,NA,NA,NA
"App ID-75445","2013-10-14",NA,"2013-11-06",NA,NA,NA,NA
"App ID-75446","2013-09-27",NA,"2013-12-10","2014-02-24","2014-03-19",NA,NA
"App ID-75447","2013-06-28",NA,"2013-08-22","2014-02-18","2014-03-21",NA,NA
"App ID-75448","2013-10-10",NA,NA,NA,NA,NA,NA
"App ID-75449","2013-09-30",NA,"2014-04-28","2014-03-17","2014-04-30",NA,NA
"App ID-75450","2013-09-09",NA,"2013-11-11","2014-02-18","2014-03-17",NA,NA
"App ID-75451","2013-10-07",NA,NA,NA,NA,NA,NA
"App ID-75452","2013-08-07",NA,"2013-08-26","2014-02-27","2014-03-20","2014-03-10",NA
"App ID-75453","2013-10-04",NA,"2014-03-31","2014-03-04","2014-03-20","2014-03-10",NA
"App ID-75454","2013-08-12",NA,NA,NA,NA,NA,NA
"App ID-75455","2013-09-26",NA,"2014-01-07","2014-04-02","2014-04-07","2014-03-10",NA
"App ID-75456","2013-10-07",NA,"2014-02-24","2014-02-19","2014-03-19","2014-03-10","2014-04-21"
"App ID-75457","2013-10-18",NA,NA,NA,NA,NA,NA
"App ID-75458","2013-09-27",NA,NA,"2014-03-05","2014-03-20","2014-03-10",NA
"App ID-75459","2013-09-11",NA,"2013-11-26","2014-03-04","2014-03-20","2014-03-10",NA
"App ID-75460","2013-10-21",NA,NA,NA,NA,NA,NA
"App ID-75461","2013-09-19",NA,NA,"2014-02-18","2014-03-17","2014-03-10",NA
"App ID-75462","2013-09-23",NA,"2014-01-23","2014-03-04","2014-03-20",NA,NA
"App ID-75463","2013-09-30",NA,"2014-02-04","2014-03-11","2014-04-01",NA,NA
"App ID-75464","2013-09-27",NA,NA,NA,NA,NA,NA
"App ID-75465","2013-09-19",NA,"2014-03-06","2014-02-19","2014-03-19","2014-03-10",NA
"App ID-75466","2013-09-23",NA,"2014-03-17","2014-03-10","2014-04-17",NA,NA
"App ID-75467","2013-10-07",NA,NA,NA,NA,NA,NA
"App ID-75468","2013-08-28","2013-11-19","2014-03-21","2014-02-25","2014-03-19",NA,NA
"App ID-75469","2013-10-21",NA,"2014-03-31","2014-02-17","2014-04-07","2014-03-10","2014-03-31"
"App ID-75470","2013-10-21","2013-10-27","2013-11-25","2014-02-27","2014-03-19",NA,NA
"App ID-75472","2013-06-17",NA,NA,"2014-03-11","2014-04-07","2014-03-10","2014-04-24"
"App ID-75473","2013-08-21",NA,"2013-09-24","2014-04-21","2014-04-23","2014-03-10",NA
"App ID-75474","2013-08-22",NA,NA,NA,NA,NA,NA
"App ID-75475","2013-10-09",NA,"2014-02-24","2014-03-06","2014-03-20",NA,NA
"App ID-75477","2013-10-14",NA,NA,NA,NA,NA,NA
"App ID-75478","2013-07-22",NA,"2014-04-22","2014-02-18","2014-03-17",NA,NA
"App ID-75479","2013-07-22",NA,NA,NA,NA,NA,NA
"App ID-75480","2013-09-23",NA,"2014-04-28","2014-02-21","2014-03-20",NA,NA
"App ID-75481","2013-09-23",NA,"2013-10-10","2014-03-17","2014-03-21",NA,NA
"App ID-75483","2013-07-22",NA,NA,"2014-02-17",NA,NA,NA
"App ID-75486","2013-06-06",NA,"2014-04-01","2014-02-18","2014-03-17",NA,NA
"App ID-75487","2013-09-05",NA,"2014-02-21","2014-02-18","2014-03-17",NA,NA
"App ID-75488","2013-06-06",NA,"2013-08-15",NA,NA,NA,NA
"App ID-75489","2013-07-29",NA,NA,NA,NA,NA,NA
"App ID-75490","2013-06-25",NA,"2013-12-06","2014-03-18","2014-04-23",NA,NA
"App ID-75492","2013-10-18",NA,"2013-11-20","2014-03-11","2014-03-21",NA,NA
"App ID-75493","2013-09-16",NA,NA,NA,NA,NA,NA
"App ID-75494","2013-10-18",NA,"2013-12-19","2014-02-21","2014-03-20","2014-03-10",NA
"App ID-75495","2013-10-21",NA,NA,NA,NA,NA,NA
"App ID-75496","2013-07-22",NA,"2013-09-24","2014-03-25","2014-03-26",NA,NA
"App ID-75497","2013-10-14",NA,"2014-01-10","2014-04-11","2014-04-15",NA,NA
"App ID-75498","2013-10-21","2013-10-27",NA,"2014-02-26",NA,NA,NA
"App ID-75499","2013-07-10",NA,"2014-02-03",NA,NA,NA,NA
"App ID-75502","2013-09-30",NA,NA,NA,NA,NA,NA
"App ID-75504","2013-10-17","2014-01-10",NA,"2014-02-21","2014-03-19","2014-03-10",NA
"App ID-75506","2013-10-17",NA,"2014-05-01","2014-02-19","2014-04-04",NA,NA
"App ID-75508","2013-10-15",NA,"2013-11-13","2014-03-14",NA,"2014-03-10",NA
"App ID-75509","2013-08-12",NA,"2014-03-14","2014-03-07","2014-03-20",NA,NA
"App ID-75510","2013-06-27",NA,"2013-12-06","2014-03-12","2014-03-21",NA,NA
"App ID-75511","2013-10-14",NA,NA,"2014-04-11","2014-04-17",NA,NA
"App ID-75513","2013-08-16",NA,"2013-09-16","2014-02-18","2014-04-11",NA,NA
"App ID-75514","2013-06-27",NA,NA,NA,NA,NA,NA
"App ID-75515","2013-06-28",NA,NA,"2014-03-07","2014-03-21","2014-03-10",NA
"App ID-75516","2013-09-19",NA,"2014-03-06","2014-04-22","2014-06-30",NA,NA
"App ID-75518","2013-10-18",NA,"2013-11-26","2014-03-07","2014-03-20",NA,NA
"App ID-75519","2013-10-21","2013-10-27","2014-01-22","2014-02-18","2014-03-17",NA,NA
"App ID-75520","2013-10-14","2013-10-27","2014-01-03","2014-03-18","2014-03-21","2014-03-10","2014-04-24"
"App ID-75521","2013-10-01",NA,NA,"2014-02-19","2014-04-02",NA,NA
"App ID-75522","2013-10-09",NA,NA,NA,NA,NA,NA
"App ID-75523","2013-09-03",NA,"2013-09-26",NA,NA,NA,NA
"App ID-75524","2013-06-26",NA,"2013-09-11",NA,NA,NA,NA
"App ID-75525","2013-08-07",NA,NA,NA,NA,NA,NA
"App ID-75526","2013-08-12",NA,NA,NA,NA,NA,NA
"App ID-75527","2013-08-12",NA,NA,"2014-03-03",NA,"2014-03-10",NA
"App ID-75529","2013-10-18",NA,"2014-02-17","2014-02-18","2014-03-17",NA,NA
"App ID-75530","2013-08-16",NA,NA,NA,NA,NA,NA
"App ID-75531","2013-10-22",NA,"2014-01-27","2014-02-24","2014-03-19",NA,NA
"App ID-75532","2013-10-17",NA,NA,NA,NA,NA,NA
"App ID-75534","2013-10-11",NA,NA,NA,NA,NA,NA
"App ID-75535","2013-08-28",NA,NA,"2014-03-04","2014-03-19","2014-03-10",NA
"App ID-75536","2013-07-30",NA,NA,"2014-02-19","2014-03-17",NA,NA
"App ID-75538","2013-09-23",NA,NA,NA,NA,NA,NA
"App ID-75539","2013-10-14",NA,"2013-12-27","2014-03-04",NA,NA,NA
"App ID-75540","2013-08-16",NA,"2013-09-26","2014-02-27","2014-03-20",NA,NA
"App ID-75541","2013-10-24",NA,NA,NA,NA,NA,NA
"App ID-75542","2013-09-23",NA,NA,"2014-03-04","2014-03-20",NA,NA
"App ID-75543","2013-09-16",NA,NA,NA,NA,NA,NA
"App ID-75544","2013-08-28",NA,"2013-10-15",NA,NA,NA,NA
"App ID-75545","2013-10-15",NA,NA,NA,NA,NA,NA
"App ID-75547","2013-08-20",NA,"2013-11-15","2014-02-17","2014-03-17",NA,NA
"App ID-75548","2013-10-23",NA,"2013-12-06","2014-03-18","2014-03-21",NA,NA
"App ID-75549","2013-08-08",NA,NA,NA,NA,NA,NA
"App ID-75550","2013-08-08",NA,NA,NA,NA,NA,NA
"App ID-75551","2013-08-12",NA,"2014-03-14","2014-03-17","2014-03-21","2014-03-10",NA
"App ID-75552","2013-08-28",NA,NA,NA,NA,NA,NA
"App ID-75553","2013-09-10",NA,"2014-03-27","2014-03-11","2014-04-02","2014-03-10",NA
"App ID-75554","2013-10-22",NA,"2013-12-20","2014-03-03","2014-03-19",NA,NA
"App ID-75555","2013-10-08",NA,NA,"2014-02-20","2014-03-19",NA,NA
"App ID-75556","2013-09-23",NA,NA,"2014-03-21","2014-03-25",NA,NA
"App ID-75557","2013-07-01",NA,"2013-11-25","2014-02-19","2014-03-17","2014-03-10",NA
"App ID-75559","2013-10-22",NA,NA,NA,NA,NA,NA
"App ID-75560","2013-10-18",NA,"2013-12-06","2014-02-18","2014-03-17",NA,NA
"App ID-75561","2013-10-10","2013-10-27","2013-11-26","2014-02-19","2014-03-17",NA,NA
"App ID-75562","2013-09-25",NA,"2014-04-02","2014-03-05","2014-03-20","2014-03-10",NA
"App ID-75563","2013-10-08",NA,"2014-03-07","2014-02-21","2014-03-19","2014-03-10",NA
"App ID-75564","2013-09-30",NA,"2013-11-15","2014-03-03","2014-03-19","2014-03-10",NA
"App ID-75565","2013-10-21",NA,NA,"2014-02-17","2014-03-17","2014-03-10",NA
"App ID-75566","2013-07-29",NA,NA,"2014-02-27","2014-03-20",NA,NA
"App ID-75567","2013-09-26",NA,"2013-12-20","2014-02-17","2014-05-05",NA,NA
"App ID-75568","2013-08-12",NA,NA,NA,NA,NA,NA
"App ID-75569","2013-06-26",NA,NA,"2014-03-04","2014-04-21",NA,NA
