"school","size"
"Maple Grove High School",2142
"Maple Lake High School",287
"Maple River High School",295
"Maranatha Christian Academy",173
"Marshall County Central H. S.",106
"Marshall High School",699
"Marshall School, Duluth",236
"Martin County West High School",214
"Martin Luther High School",68
"Math & Science Academy",128
"Mayer Lutheran High School",235
"McGregor High School",94
"Medford High School",215
"Melrose Area High School",439
"Menahga High School",163
"Mesabi Academy School",21
"Mesabi East High School",186
"Metro Deaf School",28
"Metro Schools College Prep",150
"MetroTech Career Academy",142
"Milaca High School",436
"Minisinaakawang Leadership Academy",7
"Minneapolis Edison High School",558
"Minneapolis North Community H.S.",171
"Minneapolis Patrick Henry H. S.",747
"Minneapolis Roosevelt High School",563
"Minneapolis South High School",1587
"Minneapolis Southwest High School",1529
"Minneapolis Washburn High School",741
"Minnehaha Academy",486
"Minneota High School",135
"Minnesota New Country School",66
"Minnesota Online High School",125
"Minnesota State Academy  For The Blind",22
"Minnesota State Academy for the Deaf",46
"Minnesota Transitions Charter School",157
"Minnesota Valley Lutheran",205
"Minnetonka High School",2750
"Minnewaska Area H.S.",303
"Montevideo High School",372
"Monticello High School",1087
"Moorhead High School",1356
"Moose Lake High School",215
"Mora High School",454
"Morris Area School",295
"Mound Westonka High School",644
"Mounds Park Academy",243
"Mounds View High School",1671
"Mountain Iron-Buhl High School",113
"Mountain Lake High School",111
"Mt. Lake Christian High School",33
"Murray County Central High School",202
"Nashwauk-Keewatin High School",133
"Nevis High School",136
"New Century Academy",91
"New Life Academy of Woodbury",239
"New London-Spicer High School",446
"New Prague High School",1111
"New Richland-H-E-G  H.S.",264
"New Testament Christian School",19
"New Ulm Cathedral High School",152
"New Ulm High School",589
"New York Mills High School",158
"Nicollet High School",90
"Norman County East High School",95
"Norman County West High School",65
"North Branch High School",945
"North High School",1671
"North Lakes Academy",126
"North Woods High School",86
"Northeast Range High School",91
"Northfield High School",1173
"Northland High School",109
"Northome High School",53
"Norwood-Young America High School",331
"Nova Classical Academy",54
"Ogilvie High School",155
"Onamia High School",133
"Open World Learning",84
"Orono High School",876
"Ortonville High School",183
"Osakis High School",237
"Osseo High School",1823
"Owatonna High School",1442
"PACT Charter School",191
"Paladin Academy",160
"Park Center High School",1471
"Park Christian High School",106
"Park High School",1656
"Park Rapids Area High School",405
"Parkers Prairie High School",159
"Paynesville Area High School",267
"Pelican Rapids High School",266
"Pequot Lakes High School",427
"Perham High School",413
