"Active Application Record","Campus Visit Date/Time","Visit Date","Campus Visit: Record Type"
"App ID-75196","11/22/2013 2:00 PM","11/22/2013","Daily Campus Visit"
"App ID-75196","5/1/2013 12:00 AM","5/1/2013","Daily Campus Visit"
"App ID-75197","8/29/2013 12:00 AM","8/29/2013","Daily Campus Visit"
"App ID-75198","","3/22/2014","Cobber Celebration"
"App ID-75198","1/23/2014 3:00 PM","1/23/2014","Music Performance Scholarship"
"App ID-75198","4/26/2013 12:00 AM","4/26/2013","Daily Campus Visit"
"App ID-75199","1/17/2014 1:30 PM","1/17/2014","Presidential Distinction Scholarship"
"App ID-75199","3/25/2013 12:00 AM","3/25/2013","Daily Campus Visit"
"App ID-75200","12/13/2013 1:00 PM","12/13/2013","Daily Campus Visit"
"App ID-75200","4/22/2013 12:00 AM","4/22/2013","Daily Campus Visit"
"App ID-75201","6/26/2013 12:00 AM","6/26/2013","MPCW"
"App ID-75202","1/23/2014 3:00 PM","1/23/2014","Music Performance Scholarship"
"App ID-75202","6/26/2013 12:00 AM","6/26/2013","MPCW"
"App ID-75202","11/15/2013 8:30 AM","11/15/2013","Presidential Distinction Scholarship"
"App ID-75203","10/17/2013 12:00 AM","10/17/2013","EDMN/NDEA"
"App ID-75203","2/14/2014 5:45 PM","2/14/2014","Theatre Peformance Scholarship"
"App ID-75203","1/23/2014 3:00 PM","1/23/2014","Music Performance Scholarship"
"App ID-75204","5/31/2013 12:00 AM","5/31/2013","Daily Campus Visit"
"App ID-75205","1/31/2014 1:30 PM","1/31/2014","Regents Scholarship Event"
"App ID-75205","11/11/2013 9:00 AM","11/11/2013","Daily Campus Visit"
"App ID-75206","9/6/2013 12:00 AM","9/6/2013","Daily Campus Visit"
"App ID-75207","7/31/2013 12:00 AM","7/31/2013","Daily Campus Visit"
"App ID-75208","12/6/2013 9:30 AM","12/6/2013","Daily Campus Visit"
"App ID-75209","7/22/2013 12:00 AM","7/22/2013","Daily Campus Visit"
"App ID-75209","3/22/2014 10:00 AM","3/22/2014","Cobber Celebration"
"App ID-75210","10/17/2013 12:00 AM","10/17/2013","EDMN/NDEA"
"App ID-75210","1/23/2014 3:00 PM","1/23/2014","Music Performance Scholarship"
"App ID-75210","3/22/2014 10:00 AM","3/22/2014","Cobber Celebration"
"App ID-75210","11/15/2013 8:30 AM","11/15/2013","Presidential Distinction Scholarship"
"App ID-75212","10/17/2013 12:00 AM","10/17/2013","EDMN/NDEA"
"App ID-75212","10/17/2013 12:00 AM","10/17/2013","EDMN/NDEA"
"App ID-75214","1/27/2014 1:30 PM","1/27/2014","Regents Scholarship Event"
"App ID-75214","10/7/2013 8:30 AM","10/7/2013","Road Trip"
"App ID-75215","7/9/2013 12:00 AM","7/9/2013","MPCW"
"App ID-75215","11/4/2013 8:30 AM","11/4/2013","Road Trip"
"App ID-75215","1/31/2014 1:30 PM","1/31/2014","Regents Scholarship Event"
"App ID-75216","10/17/2013 12:00 AM","10/17/2013","EDMN/NDEA"
"App ID-75217","6/21/2013 12:00 AM","6/21/2013","Daily Campus Visit"
"App ID-75218","8/12/2013 12:00 AM","8/12/2013","Visit Day: August Visit Day"
"App ID-75220","2/10/2014 1:30 PM","2/10/2014","Regents Scholarship Event"
"App ID-75220","3/22/2014 11:15 AM","3/22/2014","Cobber Celebration"
"App ID-75221","2/1/2014 10:00 AM","2/1/2014","Daily Campus Visit"
"App ID-75222","1/23/2014 3:00 PM","1/23/2014","Music Performance Scholarship"
"App ID-75222","10/7/2013 8:30 AM","10/7/2013","Road Trip"
"App ID-75222","8/5/2013 12:00 AM","8/5/2013","Daily Campus Visit"
"App ID-75222","2/16/2013 12:00 AM","2/16/2013","Daily Campus Visit"
"App ID-75222","12/12/2013 8:30 PM","12/12/2013","Christmas Concerts"
"App ID-75223","1/23/2014 3:00 PM","1/23/2014","Music Performance Scholarship"
"App ID-75223","12/2/2013 9:30 AM","12/2/2013","Daily Campus Visit"
"App ID-75224","10/12/2013 12:00 AM","10/12/2013","Daily Campus Visit"
"App ID-75225","11/15/2013 8:30 AM","11/15/2013","Presidential Distinction Scholarship"
"App ID-75225","7/2/2013 12:00 AM","7/2/2013","Daily Campus Visit"
"App ID-75225","3/22/2014 10:00 AM","3/22/2014","Cobber Celebration"
"App ID-75225","12/15/2013 2:00 PM","12/15/2013","Christmas Concerts"
"App ID-75226","3/22/2014 10:00 AM","3/22/2014","Cobber Celebration"
"App ID-75226","3/14/2014 2:30 PM","3/14/2014","Daily Campus Visit"
"App ID-75227","1/27/2014 1:30 PM","1/27/2014","Regents Scholarship Event"
"App ID-75227","7/22/2013 12:00 AM","7/22/2013","Daily Campus Visit"
"App ID-75227","12/2/2013 9:00 AM","12/2/2013","Daily Campus Visit"
"App ID-75228","4/20/2013 12:00 AM","4/20/2013","Daily Campus Visit"
"App ID-75229","8/12/2013 12:00 AM","8/12/2013","Visit Day: August Visit Day"
"App ID-75229","11/15/2013 8:30 AM","11/15/2013","Presidential Distinction Scholarship"
"App ID-75230","3/11/2013 12:00 AM","3/11/2013","Daily Campus Visit"
"App ID-75231","2/7/2014 1:30 PM","2/7/2014","Presidential Distinction Scholarship"
"App ID-75231","10/12/2013 12:00 AM","10/12/2013","Daily Campus Visit"
"App ID-75231","8/8/2013 12:00 AM","8/8/2013","Daily Campus Visit"
"App ID-75232","6/26/2013 12:00 AM","6/26/2013","MPCW"
"App ID-75233","8/12/2013 12:00 AM","8/12/2013","Visit Day: August Visit Day"
"App ID-75233","1/31/2014 1:30 PM","1/31/2014","Regents Scholarship Event"
"App ID-75234","10/18/2013 12:00 AM","10/18/2013","EDMN/NDEA"
"App ID-75239","10/17/2013 12:00 AM","10/17/2013","EDMN/NDEA"
"App ID-75240","9/21/2013 12:00 AM","9/21/2013","Daily Campus Visit"
"App ID-75240","1/23/2014 9:00 AM","1/23/2014","Daily Campus Visit"
"App ID-75241","9/21/2013 12:00 AM","9/21/2013","Daily Campus Visit"
"App ID-75241","3/14/2014 9:00 AM","3/14/2014","Daily Campus Visit"
"App ID-75243","10/18/2013 12:00 AM","10/18/2013","EDMN/NDEA"
"App ID-75244","3/27/2013 12:00 AM","3/27/2013","Daily Campus Visit"
"App ID-75246","8/13/2013 12:00 AM","8/13/2013","Daily Campus Visit"
"App ID-75247","1/31/2014 1:30 PM","1/31/2014","Regents Scholarship Event"
"App ID-75247","3/22/2014 11:15 AM","3/22/2014","Cobber Celebration"
"App ID-75247","11/4/2013 8:30 AM","11/4/2013","Road Trip"
"App ID-75248","3/22/2014 11:15 AM","3/22/2014","Cobber Celebration"
"App ID-75248","1/17/2014 1:30 PM","1/17/2014","Presidential Distinction Scholarship"
"App ID-75248","7/26/2013 12:00 AM","7/26/2013","Daily Campus Visit"
"App ID-75249","6/25/2013 12:00 AM","6/25/2013","MPCW"
"App ID-75251","6/25/2013 12:00 AM","6/25/2013","MPCW"
"App ID-75252","6/25/2013 12:00 AM","6/25/2013","MPCW"
"App ID-75253","8/12/2013 12:00 AM","8/12/2013","Daily Campus Visit"
"App ID-75254","10/17/2013 12:00 AM","10/17/2013","EDMN/NDEA"
"App ID-75255","8/12/2013 12:00 AM","8/12/2013","Daily Campus Visit"
"App ID-75256","1/31/2014 11:00 AM","1/31/2014","Music Performance Scholarship"
"App ID-75256","2/7/2014 1:30 PM","2/7/2014","Presidential Distinction Scholarship"
"App ID-75258","1/23/2014 3:00 PM","1/23/2014","Music Performance Scholarship"
