"zip","distance","Median.Income","Total","White","Pct.White"
"01034",NA,77448,2061,2000,0.9704
"01035",NA,74737,5285,5036,0.9529
"01036",NA,79639,5141,5067,0.9856
"01037",NA,91471,721,666,0.9237
"01038",NA,65536,2837,2741,0.9662
"01039",NA,68500,1354,1321,0.9756
"01040",NA,35550,40079,32474,0.8102
"01050",NA,52813,2512,2314,0.9212
"01053",NA,59850,1847,1629,0.882
"01054",NA,78125,1836,1703,0.9276
"01056",NA,61410,21288,20300,0.9536
"01057",NA,66343,8645,8371,0.9683
"01060",NA,53427,15348,13049,0.8502
"01062",NA,64727,10830,9549,0.8817
"01063",NA,NA,612,459,0.75
"01066",NA,NA,10,10,1
"01068",NA,80577,1791,1777,0.9922
"01069",NA,54412,8982,8893,0.9901
"01070",NA,57031,580,537,0.9259
"01071",NA,74688,1361,1291,0.9486
"01072",NA,68203,1482,1373,0.9265
"01073",NA,68693,5958,5805,0.9743
"01074",NA,58140,301,301,1
"01075",NA,62408,17832,16255,0.9116
"01077",NA,81967,9599,9279,0.9667
"01079",NA,43654,542,542,1
"01080",NA,42794,2176,2085,0.9582
"01081",NA,52768,1807,1779,0.9845
"01082",NA,52709,10394,10062,0.9681
"01083",NA,37126,3108,3095,0.9958
"01084",NA,49886,211,211,1
"01085",NA,61211,41121,37037,0.9007
"01086",NA,NA,1038,919,0.8854
"01088",NA,41875,446,413,0.926
"01089",NA,52806,28554,24280,0.8503
"01092",NA,48679,1078,1077,0.9991
"01093",NA,82222,282,279,0.9894
"01094",NA,19028,310,310,1
"01095",NA,86908,14436,13755,0.9528
"01096",NA,70438,2522,2472,0.9802
"01097",NA,40556,36,36,1
"01098",NA,71500,1095,1053,0.9616
"01103",NA,13666,2472,1563,0.6323
"01104",NA,29184,22285,12933,0.5803
"01105",NA,17657,12054,4063,0.3371
"01106",NA,106296,16077,14697,0.9142
"01107",NA,22287,11706,5419,0.4629
"01108",NA,35238,26670,14831,0.5561
"01109",NA,32644,30987,10276,0.3316
"01118",NA,65231,14192,11232,0.7914
"01119",NA,47417,13942,8848,0.6346
"01128",NA,74963,2568,2084,0.8115
"01129",NA,62280,7160,5147,0.7189
"01151",NA,34280,9581,6423,0.6704
"01199",NA,NA,0,0,NA
"01201",NA,44120,45557,40052,0.8792
"01220",NA,41950,8536,8254,0.967
"01222",NA,78080,811,784,0.9667
"01223",NA,65033,2336,2273,0.973
"01224",NA,37112,242,140,0.5785
"01225",NA,58007,3057,3027,0.9902
"01226",NA,48320,6944,6795,0.9785
"01229",NA,34250,131,131,1
"01230",NA,53180,8148,7053,0.8656
"01235",NA,64507,2904,2794,0.9621
"01236",NA,62917,1574,1413,0.8977
"01237",NA,76346,2735,2716,0.9931
"01238",NA,61492,6245,5955,0.9536
"01240",NA,51396,4823,4585,0.9507
"01242",NA,55333,192,191,0.9948
"01243",NA,73750,383,361,0.9426
"01244",NA,27639,149,143,0.9597
"01245",NA,53833,807,775,0.9603
"01247",NA,39636,15859,15054,0.9492
"01253",NA,66250,683,672,0.9839
"01254",NA,83750,1043,1002,0.9607
"01255",NA,56250,896,818,0.9129
"01256",NA,57222,703,663,0.9431
"01257",NA,46917,2140,2070,0.9673
"01258",NA,64250,334,322,0.9641
"01259",NA,61500,540,514,0.9519
"01260",NA,47250,246,246,1
"01262",NA,47250,1337,1181,0.8833
"01264",NA,90625,156,156,1
"01266",NA,78333,1491,1420,0.9524
"01267",NA,74167,7906,6931,0.8767
"01270",NA,69444,766,748,0.9765
"01301",NA,48612,17731,16477,0.9293
"01330",NA,77411,1596,1543,0.9668
"01331",NA,51002,13264,12538,0.9453
"01337",NA,62037,2576,2484,0.9643
"01338",NA,71691,209,209,1
"01339",NA,51908,1514,1477,0.9756
"01340",NA,46210,1686,1589,0.9425
"01341",NA,79286,1583,1529,0.9659
"01342",NA,101863,1577,1358,0.8611
"01343",NA,81667,72,72,1
"01344",NA,59722,1557,1462,0.939
"01346",NA,58906,466,448,0.9614
"01347",NA,38000,128,123,0.9609
"01349",NA,54727,888,831,0.9358
"01350",NA,32083,118,116,0.9831
"01351",NA,71587,2167,2034,0.9386
"01354",NA,75776,1573,1496,0.951
"01355",NA,75000,981,963,0.9817
"01360",NA,60721,3031,2928,0.966
"01364",NA,41994,7932,7665,0.9663
"01366",NA,72917,1355,1305,0.9631
"01367",NA,49792,569,550,0.9666
"01368",NA,60568,1230,1199,0.9748
"01370",NA,53300,4143,4062,0.9804
"01373",NA,67465,4406,4254,0.9655
"01375",NA,50417,3683,3168,0.8602
"01376",NA,41250,5511,5013,0.9096
"01378",NA,55278,690,676,0.9797
"01379",NA,38750,873,765,0.8763
"01420",NA,46628,40419,31972,0.791
"01430",NA,85662,6133,5856,0.9548
"01431",NA,83917,3147,3089,0.9816
"01432",NA,66630,7337,6561,0.8942
"01434",NA,97222,1656,1134,0.6848
"01436",NA,70313,3931,3877,0.9863
"01438",NA,61803,464,464,1
"01440",NA,46464,20293,18474,0.9104
"01450",NA,116686,10997,10302,0.9368
"01451",NA,135357,4841,4355,0.8996
"01452",NA,83438,4452,4310,0.9681
"01453",NA,59248,40978,33910,0.8275
"01460",NA,111652,9157,8414,0.9189
"01462",NA,71055,10797,10112,0.9366
"01463",NA,77767,11782,11253,0.9551
"01464",NA,66453,7404,5500,0.7428
"01467",NA,184107,440,409,0.9295
"01468",NA,70455,3682,3682,1
"01469",NA,81024,7328,6965,0.9505
"01473",NA,87273,7361,7215,0.9802
"01474",NA,95587,1855,1784,0.9617
"01475",NA,59332,10466,9624,0.9195
"01501",NA,73105,16136,15375,0.9528
"01503",NA,88681,2917,2813,0.9643
"01504",NA,72699,9055,8454,0.9336
"01505",NA,102422,4399,4146,0.9425
"01506",NA,63889,3396,3274,0.9641
"01507",NA,91287,13126,12790,0.9744
"01510",NA,64867,13675,12097,0.8846
"01515",NA,71020,2263,2173,0.9602
"01516",NA,84390,8624,8415,0.9758
"01518",NA,48676,2418,2418,1
"01519",NA,101205,6573,6006,0.9137
"01520",NA,98979,14724,13890,0.9434
